I,Q
2.900655567646026611e-01,-1.084251761436462402e+00
2.845660150051116943e-01,1.062608242034912109e+00
-1.107007145881652832e+00,-2.937673926353454590e-01
3.021922707557678223e-01,-1.128879547119140625e+00
2.947983741760253906e-01,1.105501174926757812e+00
8.401665687561035156e-01,8.397818803787231445e-01
-2.662008404731750488e-01,2.657071948051452637e-01
2.901770770549774170e-01,-2.873144447803497314e-01
-1.128044128417968750e+00,3.038857579231262207e-01
1.062778234481811523e+00,2.848959565162658691e-01
-2.973206937313079834e-01,-1.109980463981628418e+00
2.649164795875549316e-01,2.647691667079925537e-01
-2.728326916694641113e-01,-2.716834247112274170e-01
2.858642041683197021e-01,-2.823415696620941162e-01
1.024299740791320801e+00,-2.751648724079132080e-01
8.208575844764709473e-01,-8.206782937049865723e-01
-2.927908897399902344e-01,-2.922221124172210693e-01
8.362999558448791504e-01,8.418247699737548828e-01
-2.871121168136596680e-01,1.079351186752319336e+00
1.105003833770751953e+00,-2.926912307739257812e-01
-7.936540246009826660e-01,7.871384024620056152e-01
-2.939600050449371338e-01,1.090226650238037109e+00
2.824253439903259277e-01,-2.853486835956573486e-01
7.840560674667358398e-01,7.834805250167846680e-01
-2.887116670608520508e-01,2.892597317695617676e-01
-2.901136875152587891e-01,1.086835622787475586e+00
2.934489548206329346e-01,1.101565837860107422e+00
7.547421455383300781e-01,-7.540950179100036621e-01
1.125033140182495117e+00,-3.000937104225158691e-01
1.173017978668212891e+00,-3.147407174110412598e-01
-8.341357707977294922e-01,8.315585255622863770e-01
-2.968016862869262695e-01,1.096871376037597656e+00
2.784735560417175293e-01,-2.817798852920532227e-01
-1.158158659934997559e+00,-3.101679980754852295e-01
-1.043058276176452637e+00,-2.847851514816284180e-01
-2.899575531482696533e-01,2.936725318431854248e-01
3.061103820800781250e-01,1.139344215393066406e+00
-1.105509400367736816e+00,-2.953702211380004883e-01
1.071010947227478027e+00,-2.885468900203704834e-01
-7.768924832344055176e-01,7.813890576362609863e-01
8.152033090591430664e-01,8.121544718742370605e-01
2.773807048797607422e-01,1.034066438674926758e+00
7.885333895683288574e-01,7.853912115097045898e-01
-8.080039024353027344e-01,-8.070871829986572266e-01
-1.090293526649475098e+00,2.918802201747894287e-01
-8.156049251556396484e-01,-8.175603747367858887e-01
7.827587723731994629e-01,-7.802206277847290039e-01
1.096909403800964355e+00,-2.946650385856628418e-01
-1.045941829681396484e+00,-2.806164026260375977e-01
7.662926316261291504e-01,7.710253596305847168e-01
1.075955748558044434e+00,-2.865116894245147705e-01
2.949367761611938477e-01,-1.098940491676330566e+00
-7.523636817932128906e-01,7.503651380538940430e-01
-8.067717552185058594e-01,-8.087225556373596191e-01
1.064747333526611328e+00,-2.866343855857849121e-01
-1.068949699401855469e+00,2.856263518333435059e-01
-8.152501583099365234e-01,8.110727071762084961e-01
-8.101398944854736328e-01,-8.070348501205444336e-01
2.792019546031951904e-01,2.772430181503295898e-01
