I,Q
2.766181528568267822e-01,2.843852937221527100e-01
-1.093961596488952637e+00,2.941111922264099121e-01
-3.012315928936004639e-01,-2.666798830032348633e-01
-2.792675495147705078e-01,2.678409218788146973e-01
-3.049131333827972412e-01,-1.101683020591735840e+00
8.030484914779663086e-01,-7.999743819236755371e-01
-2.738195955753326416e-01,2.702242136001586914e-01
3.011841475963592529e-01,-2.817871272563934326e-01
-3.019398152828216553e-01,1.106510996818542480e+00
-8.137463927268981934e-01,7.975149154663085938e-01
2.840658426284790039e-01,-2.710317373275756836e-01
2.976693809032440186e-01,-1.089474201202392578e+00
2.808523178100585938e-01,2.890485823154449463e-01
3.087836503982543945e-01,1.101448655128479004e+00
1.091709017753601074e+00,2.880847752094268799e-01
-2.986170649528503418e-01,-1.086231946945190430e+00
8.029512166976928711e-01,-7.937569022178649902e-01
1.079932332038879395e+00,-2.695780396461486816e-01
-2.693203091621398926e-01,2.930670082569122314e-01
1.090666532516479492e+00,-2.689856588840484619e-01
-1.112319111824035645e+00,2.663930058479309082e-01
1.078521609306335449e+00,2.998825609683990479e-01
1.085607647895812988e+00,2.803884744644165039e-01
8.135377764701843262e-01,-7.910256385803222656e-01
-2.716190218925476074e-01,2.752953469753265381e-01
-2.868464887142181396e-01,-1.087058663368225098e+00
7.898834347724914551e-01,8.056254386901855469e-01
-1.077594876289367676e+00,2.821217477321624756e-01
8.000491857528686523e-01,-7.910460829734802246e-01
-7.991601824760437012e-01,-8.033181428909301758e-01
1.078387260437011719e+00,-2.953259646892547607e-01
-1.111158370971679688e+00,2.855484485626220703e-01
-8.054416179656982422e-01,-8.180824518203735352e-01
2.496905326843261719e-01,1.082620382308959961e+00
7.908653020858764648e-01,-8.412829637527465820e-01
8.167458176612854004e-01,-7.920270562171936035e-01
-7.939174175262451172e-01,-7.970955371856689453e-01
8.106256723403930664e-01,-7.916415333747863770e-01
-2.672247886657714844e-01,-2.955476343631744385e-01
1.111577033996582031e+00,-2.793447077274322510e-01
8.064513802528381348e-01,7.856876254081726074e-01
-1.094828605651855469e+00,-3.074532747268676758e-01
3.149634301662445068e-01,1.093018412590026855e+00
2.819884121417999268e-01,2.882788181304931641e-01
1.104871392250061035e+00,-2.978744506835937500e-01
-7.819200158119201660e-01,-7.951721549034118652e-01
2.908946275711059570e-01,2.886926829814910889e-01
2.912437617778778076e-01,2.728041410446166992e-01
-2.706324756145477295e-01,-2.806490063667297363e-01
-1.103574156761169434e+00,3.166702985763549805e-01
-2.834001481533050537e-01,-2.674891352653503418e-01
1.094452381134033203e+00,3.002968430519104004e-01
2.757650911808013916e-01,-1.090782999992370605e+00
8.058682680130004883e-01,-8.080104589462280273e-01
1.087090492248535156e+00,-3.007842302322387695e-01
-7.892773747444152832e-01,-8.088251948356628418e-01
1.081605195999145508e+00,2.759778797626495361e-01
2.846264243125915527e-01,1.106154203414916992e+00
2.908157408237457275e-01,-2.844798266887664795e-01
2.989335954189300537e-01,-1.098395943641662598e+00
2.994205355644226074e-01,-2.730331122875213623e-01
8.046303391456604004e-01,-8.004819154739379883e-01
-2.888369858264923096e-01,-2.835482656955718994e-01
-7.936342954635620117e-01,-7.927964329719543457e-01
-2.560948431491851807e-01,-2.585089206695556641e-01
8.241937756538391113e-01,8.053573966026306152e-01
-2.773347198963165283e-01,2.881624698638916016e-01
1.107086658477783203e+00,-3.095067441463470459e-01
7.918507456779479980e-01,-7.801997661590576172e-01
8.056446909904479980e-01,8.225128650665283203e-01
2.629308998584747314e-01,2.734741270542144775e-01
3.076612651348114014e-01,-1.056595921516418457e+00
-2.952493429183959961e-01,1.082786202430725098e+00
-2.830138206481933594e-01,2.740387022495269775e-01
1.127619862556457520e+00,3.043452203273773193e-01
1.084275960922241211e+00,3.101540505886077881e-01
2.649545371532440186e-01,1.111457109451293945e+00
2.598212659358978271e-01,1.084163904190063477e+00
2.653079926967620850e-01,-3.034113049507141113e-01
2.764917612075805664e-01,-2.610022723674774170e-01
2.920988798141479492e-01,2.748979926109313965e-01
-2.480909824371337891e-01,2.885374128818511963e-01
-3.023039698600769043e-01,1.127316951751708984e+00
2.810255587100982666e-01,1.075521945953369141e+00
8.060607314109802246e-01,8.302876949310302734e-01
-2.648606300354003906e-01,-2.668420374393463135e-01
3.176316618919372559e-01,1.087604641914367676e+00
-2.803352177143096924e-01,-3.030273914337158203e-01
-7.985552549362182617e-01,8.122023940086364746e-01
-2.806291580200195312e-01,-2.979260385036468506e-01
7.981289625167846680e-01,-7.819002270698547363e-01
-2.488626539707183838e-01,-2.545150518417358398e-01
1.093009710311889648e+00,-2.915792763233184814e-01
-2.509343028068542480e-01,-2.972035408020019531e-01
-2.808379828929901123e-01,-2.947121262550354004e-01
2.739437520503997803e-01,2.966563403606414795e-01
-2.873667180538177490e-01,1.104532122611999512e+00
1.089720845222473145e+00,-3.021767437458038330e-01
3.079447746276855469e-01,-1.097384452819824219e+00
1.101458668708801270e+00,3.084790706634521484e-01
-7.780164480209350586e-01,7.941426634788513184e-01
-2.870462834835052490e-01,-2.844404280185699463e-01
2.865262925624847412e-01,1.082740426063537598e+00
2.971883714199066162e-01,-1.098305583000183105e+00
-1.066723346710205078e+00,3.094439506530761719e-01
-1.096144914627075195e+00,-2.926051318645477295e-01
-1.087008118629455566e+00,-3.050042986869812012e-01
-2.913144826889038086e-01,-1.076564431190490723e+00
-1.107691645622253418e+00,3.218467533588409424e-01
2.646917998790740967e-01,2.728021740913391113e-01
2.767786979675292969e-01,-1.092559814453125000e+00
7.765038013458251953e-01,-8.200501799583435059e-01
2.936816215515136719e-01,-1.094399094581604004e+00
-2.979449331760406494e-01,-1.100829124450683594e+00
1.093440651893615723e+00,2.736601531505584717e-01
1.102744221687316895e+00,2.851750850677490234e-01
-2.886865437030792236e-01,-1.093875288963317871e+00
-2.970331907272338867e-01,1.101531744003295898e+00
7.767443656921386719e-01,-8.010927438735961914e-01
-2.501158714294433594e-01,1.082710981369018555e+00
-7.893140316009521484e-01,-8.048149943351745605e-01
7.962094545364379883e-01,8.105704784393310547e-01
-2.856126725673675537e-01,-2.821384966373443604e-01
-7.945683598518371582e-01,-7.960282564163208008e-01
2.624129652976989746e-01,2.737933695316314697e-01
-1.104632496833801270e+00,-3.059605062007904053e-01
1.090289592742919922e+00,-3.292756080627441406e-01
2.784145474433898926e-01,2.773257195949554443e-01
1.092735767364501953e+00,2.771840393543243408e-01
1.094929218292236328e+00,2.982485294342041016e-01
-1.071615338325500488e+00,-2.866190671920776367e-01
7.988283634185791016e-01,7.906352281570434570e-01
1.097508311271667480e+00,-3.147667348384857178e-01
7.935639619827270508e-01,7.980470657348632812e-01
2.731385529041290283e-01,2.946265339851379395e-01
1.092540264129638672e+00,2.897983193397521973e-01
2.990114688873291016e-01,-1.099684715270996094e+00
2.747105062007904053e-01,-1.081923007965087891e+00
-3.017747998237609863e-01,1.098700404167175293e+00
7.988255620002746582e-01,8.315882682800292969e-01
-3.112927377223968506e-01,-2.931086122989654541e-01
-7.752980589866638184e-01,8.056085705757141113e-01
1.078209400177001953e+00,-3.072498440742492676e-01
-2.829795479774475098e-01,1.112833142280578613e+00
-1.085982799530029297e+00,-3.000569641590118408e-01
2.647203207015991211e-01,-2.647817432880401611e-01
-1.099227190017700195e+00,-3.097371459007263184e-01
-3.134888112545013428e-01,-1.110492348670959473e+00
2.972023487091064453e-01,2.873169779777526855e-01
-7.906749844551086426e-01,8.160772919654846191e-01
7.973278164863586426e-01,-8.103626370429992676e-01
-1.094200968742370605e+00,3.037810623645782471e-01
-2.910883128643035889e-01,-2.663233280181884766e-01
-1.080551743507385254e+00,2.925033867359161377e-01
-2.878782749176025391e-01,2.408225983381271362e-01
-2.704833447933197021e-01,-1.097815632820129395e+00
7.909005284309387207e-01,7.956262230873107910e-01
-3.160035014152526855e-01,-2.779704630374908447e-01
-2.652159929275512695e-01,2.812395095825195312e-01
-8.071426153182983398e-01,-7.844873666763305664e-01
-7.912009954452514648e-01,-7.704575061798095703e-01
-1.107277989387512207e+00,-2.976744472980499268e-01
-8.077456951141357422e-01,8.080320358276367188e-01
3.021007180213928223e-01,1.093822240829467773e+00
2.621330022811889648e-01,-1.079291939735412598e+00
1.111440420150756836e+00,-2.848994135856628418e-01
-3.025556206703186035e-01,-1.057206511497497559e+00
1.095960021018981934e+00,2.724488079547882080e-01
3.062106966972351074e-01,-1.094116687774658203e+00
7.905921339988708496e-01,-8.087538480758666992e-01
7.965350151062011719e-01,-8.194893002510070801e-01
-2.883527278900146484e-01,2.748979926109313965e-01
-2.881583571434020996e-01,2.714677155017852783e-01
-7.905784845352172852e-01,-8.090234398841857910e-01
-1.108591914176940918e+00,-3.297042250633239746e-01
7.919998764991760254e-01,-8.040368556976318359e-01
-2.898452281951904297e-01,-1.084177374839782715e+00
3.083937168121337891e-01,-2.952665984630584717e-01
1.097953915596008301e+00,2.749656140804290771e-01
2.967047691345214844e-01,-1.086369037628173828e+00
3.193613588809967041e-01,1.084186792373657227e+00
-1.088397502899169922e+00,2.839939594268798828e-01
-2.907370924949645996e-01,2.736570239067077637e-01
-8.148686289787292480e-01,-8.038868308067321777e-01
1.076603531837463379e+00,-2.617808580398559570e-01
2.990728616714477539e-01,-2.744621336460113525e-01
1.081428289413452148e+00,-2.854613065719604492e-01
2.890710830688476562e-01,-2.877463698387145996e-01
-1.098064780235290527e+00,2.821665406227111816e-01
-2.787669301033020020e-01,-1.111608028411865234e+00
-3.039371669292449951e-01,-1.118192076683044434e+00
-1.073010325431823730e+00,-2.983262836933135986e-01
-3.073042631149291992e-01,1.093442559242248535e+00
7.893110513687133789e-01,-8.083944320678710938e-01
8.090925812721252441e-01,8.103746175765991211e-01
-1.093662977218627930e+00,-2.920491695404052734e-01
-8.072654604911804199e-01,-7.961893081665039062e-01
2.501916289329528809e-01,2.785477340221405029e-01
-3.163487613201141357e-01,-1.084721326828002930e+00
1.072325229644775391e+00,-2.959026992321014404e-01
-2.793520987033843994e-01,2.870571017265319824e-01
1.071641921997070312e+00,2.965902090072631836e-01
1.073592066764831543e+00,2.942417562007904053e-01
-8.075602650642395020e-01,7.802836298942565918e-01
-3.301502764225006104e-01,1.088381767272949219e+00
2.771692574024200439e-01,-1.087230324745178223e+00
2.640871405601501465e-01,2.956730723381042480e-01
-2.695809602737426758e-01,-1.111010551452636719e+00
2.663882076740264893e-01,2.753084301948547363e-01
8.055803179740905762e-01,-7.811542749404907227e-01
