I,Q
-1.866302639245986938e-01,1.845382452011108398e-01
-1.810673922300338745e-01,6.690441966056823730e-01
1.104508280754089355e+00,5.404377579689025879e-01
-4.809603393077850342e-01,4.389818608760833740e-01
1.272159069776535034e-01,-2.026646435260772705e-01
-1.266497135162353516e+00,9.809032781049609184e-04
-4.609459340572357178e-01,4.477375149726867676e-01
2.530219554901123047e-01,-6.683027148246765137e-01
-2.112640291452407837e-01,7.137108445167541504e-01
-2.209307998418807983e-01,1.613006293773651123e-01
1.901336908340454102e-01,-6.287902593612670898e-01
-1.538275480270385742e-01,1.848216503858566284e-01
-4.862984418869018555e-01,5.168932676315307617e-01
1.335130095481872559e+00,3.048669174313545227e-02
-5.294380243867635727e-03,-1.294531464576721191e+00
-1.200589418411254883e+00,5.140294432640075684e-01
4.985689520835876465e-01,1.203440785408020020e+00
-1.228177309036254883e+00,5.743246078491210938e-01
1.221741914749145508e+00,-4.434983432292938232e-01
-4.977380633354187012e-01,1.267505288124084473e+00
1.109196543693542480e+00,3.912022709846496582e-01
-7.183680534362792969e-01,2.037062495946884155e-01
-5.163232088088989258e-01,-1.225614309310913086e+00
-6.157792210578918457e-01,2.119424343109130859e-01
1.213297128677368164e+00,4.684410691261291504e-01
-4.642693996429443359e-01,-4.641618430614471436e-01
-2.093694806098937988e-01,1.910965591669082642e-01
-4.293945431709289551e-01,-5.261688232421875000e-01
-6.653326749801635742e-01,2.118674367666244507e-01
-8.988686203956604004e-01,-9.141439795494079590e-01
4.323054254055023193e-01,-4.954208135604858398e-01
4.203826487064361572e-01,4.595007896423339844e-01
4.674361646175384521e-01,-5.520835518836975098e-01
-8.233987092971801758e-01,-2.167697250843048096e-01
4.520949125289916992e-01,3.357644379138946533e-01
-4.259074330329895020e-01,5.167177319526672363e-01
-8.796080946922302246e-01,9.143979549407958984e-01
-6.264775395393371582e-01,2.096798419952392578e-01
-6.148045659065246582e-01,1.238573938608169556e-01
1.344505429267883301e+00,4.983050376176834106e-02
-1.485032141208648682e-01,-2.247837334871292114e-01
-1.185784459114074707e+00,-5.420467853546142578e-01
-4.075905978679656982e-01,1.179134488105773926e+00
1.757327467203140259e-01,1.988420188426971436e-01
-4.434795379638671875e-01,-5.047832131385803223e-01
-5.973184704780578613e-01,1.967093050479888916e-01
-4.494056701660156250e-01,-4.574949443340301514e-01
2.097344696521759033e-01,-2.006419152021408081e-01
5.238434672355651855e-01,4.870453178882598877e-01
1.397909522056579590e-01,7.519204020500183105e-01
-4.961423575878143311e-01,-4.376895725727081299e-01
-1.733019500970840454e-01,6.917686462402343750e-01
4.235592484474182129e-01,4.952368438243865967e-01
-4.658688306808471680e-01,-5.150818228721618652e-01
8.805791139602661133e-01,8.739081025123596191e-01
-1.310380101203918457e-01,-2.028515785932540894e-01
4.441274702548980713e-01,4.243410229682922363e-01
4.581870138645172119e-01,1.227391719818115234e+00
-4.517689645290374756e-01,-1.193186879158020020e+00
-4.644065201282501221e-01,-5.058119297027587891e-01
-1.208352923393249512e+00,2.848370559513568878e-02
5.026641488075256348e-01,-4.874238967895507812e-01
6.350510120391845703e-01,-1.882323026657104492e-01
6.888993382453918457e-01,2.054369449615478516e-01
9.071049839258193970e-02,1.358651518821716309e+00
-1.091623544692993164e+00,-4.698190391063690186e-01
5.012946724891662598e-01,1.206715941429138184e+00
-4.374148547649383545e-01,1.118641495704650879e+00
8.720157742500305176e-01,-8.292130827903747559e-01
-4.687636196613311768e-01,1.261437773704528809e+00
1.211213111877441406e+00,-2.686361409723758698e-02
-1.238890960812568665e-01,7.989171743392944336e-01
1.171019434928894043e+00,-5.266883373260498047e-01
6.564437150955200195e-01,1.532966792583465576e-01
1.029473423957824707e+00,-8.608260154724121094e-01
-5.191417336463928223e-01,-4.231854975223541260e-01
7.538987696170806885e-02,7.318813800811767578e-01
-7.861810922622680664e-01,-2.110992074012756348e-01
-5.454777479171752930e-01,1.096500515937805176e+00
1.163840770721435547e+00,-4.159320592880249023e-01
5.301727652549743652e-01,1.157985687255859375e+00
-5.797157436609268188e-02,-6.361515522003173828e-01
-5.210561156272888184e-01,6.120603084564208984e-01
-2.149725705385208130e-01,1.065555214881896973e-01
1.994648873805999756e-01,7.750086784362792969e-01
5.850729346275329590e-02,1.328037858009338379e+00
2.689117789268493652e-01,-6.849994659423828125e-01
6.662842035293579102e-01,9.637878090143203735e-02
4.948084056377410889e-01,1.223559975624084473e+00
1.718948632478713989e-01,-2.342834174633026123e-01
-1.858466714620590210e-01,-5.972457528114318848e-01
7.819062471389770508e-01,-8.157186955213546753e-02
-1.718330234289169312e-01,-1.664330959320068359e-01
2.809859514236450195e-01,-2.316290587186813354e-01
-4.867297112941741943e-01,4.353811144828796387e-01
1.461787223815917969e-01,-1.130152866244316101e-01
5.089736580848693848e-01,-1.137803792953491211e+00
1.264211177825927734e+00,-3.404835984110832214e-02
-4.333752691745758057e-01,-1.195173978805541992e+00
1.210141658782958984e+00,-4.314123988151550293e-01
-9.643736481666564941e-02,6.422213315963745117e-01
4.635433554649353027e-01,-4.999640583992004395e-01
-6.880738735198974609e-01,1.398434340953826904e-01
1.870394498109817505e-01,1.523774117231369019e-01
-8.057557940483093262e-01,-8.420946002006530762e-01
1.670839786529541016e-01,-6.635113358497619629e-01
2.006501853466033936e-01,6.201904416084289551e-01
-1.722294390201568604e-01,7.255579829216003418e-01
1.246645078063011169e-01,7.709373831748962402e-01
1.189585924148559570e-01,6.352943778038024902e-01
4.293565154075622559e-01,1.181787252426147461e+00
9.088046103715896606e-02,-7.373988032341003418e-01
-4.837008714675903320e-01,4.819521307945251465e-01
-1.898188143968582153e-01,1.431064009666442871e-01
6.656938791275024414e-01,-2.488001883029937744e-01
3.524594008922576904e-02,1.248398423194885254e+00
-6.491154432296752930e-01,1.754221916198730469e-01
-6.797788739204406738e-01,-1.472943574190139771e-01
4.002183079719543457e-01,4.834127724170684814e-01
-1.119600057601928711e+00,-3.835087269544601440e-02
-4.484694898128509521e-01,1.162816166877746582e+00
4.717280864715576172e-01,-4.485940933227539062e-01
-1.890473365783691406e-01,1.663499623537063599e-01
-4.677725434303283691e-01,-1.164140343666076660e+00
-7.321258783340454102e-01,-2.037768512964248657e-01
-4.218303784728050232e-02,-1.324758648872375488e+00
-1.190127134323120117e+00,-6.222163438796997070e-01
-4.973276853561401367e-01,1.166904449462890625e+00
4.850180149078369141e-01,4.287721216678619385e-01
6.711623072624206543e-01,-1.584689915180206299e-01
-4.074272215366363525e-01,5.096468329429626465e-01
-5.191089585423469543e-03,1.241518974304199219e+00
-1.553061902523040771e-01,9.101630747318267822e-02
1.535548716783523560e-01,-6.726878881454467773e-01
-9.309372305870056152e-01,9.536855816841125488e-01
-4.908544421195983887e-01,1.168191671371459961e+00
-8.804208040237426758e-01,8.788344860076904297e-01
1.112307682633399963e-01,-6.233811974525451660e-01
-5.191120505332946777e-01,-4.661499559879302979e-01
-1.184819698333740234e+00,-3.734537065029144287e-01
3.765417933464050293e-01,-1.224886655807495117e+00
9.163538366556167603e-02,1.296527147293090820e+00
-2.262054681777954102e-01,1.186314001679420471e-01
-4.500633180141448975e-01,5.588507652282714844e-01
-4.622830450534820557e-01,-1.205879211425781250e+00
4.295911788940429688e-01,1.238415479660034180e+00
-6.869519948959350586e-01,-2.399094551801681519e-01
-9.784467220306396484e-01,8.391300439834594727e-01
-4.262326657772064209e-01,-4.625489115715026855e-01
-6.294819116592407227e-01,2.362630814313888550e-01
1.606132537126541138e-01,1.341342777013778687e-01
8.989800810813903809e-01,9.427829980850219727e-01
4.507675766944885254e-01,1.232752084732055664e+00
2.176002860069274902e-01,1.698280572891235352e-01
4.604868590831756592e-01,3.397236764430999756e-01
5.709987878799438477e-01,-1.196758270263671875e+00
-3.431591391563415527e-02,1.259854674339294434e+00
7.734626531600952148e-01,-8.924955725669860840e-01
-1.219607949256896973e+00,1.664438867010176182e-03
-5.118935108184814453e-01,5.444165468215942383e-01
5.197525620460510254e-01,-3.771221637725830078e-01
-2.232189327478408813e-01,1.538089215755462646e-01
4.589716196060180664e-01,5.151611566543579102e-01
2.050860822200775146e-01,-1.688478291034698486e-01
-1.292680144309997559e+00,5.395253896713256836e-01
6.719385832548141479e-02,-1.247385740280151367e+00
-3.544025123119354248e-02,1.408857345581054688e+00
-8.925179243087768555e-01,8.276765942573547363e-01
-1.224490255117416382e-01,1.677663624286651611e-01
-5.240627527236938477e-01,-1.210890889167785645e+00
-1.849333643913269043e-01,1.006053686141967773e-01
-9.306373000144958496e-01,8.812080621719360352e-01
-1.983994543552398682e-01,-2.055515944957733154e-01
2.135852873325347900e-01,-6.968894600868225098e-01
-9.595697522163391113e-01,-1.038017868995666504e+00
-5.168175101280212402e-01,-5.004838109016418457e-01
-1.668317615985870361e-01,-6.316631436347961426e-01
-3.871920704841613770e-01,-1.232814669609069824e+00
5.041882395744323730e-01,-5.524585843086242676e-01
-8.888950347900390625e-01,-8.779289722442626953e-01
1.373989820480346680e+00,-3.292907774448394775e-02
-8.853808045387268066e-01,8.700904250144958496e-01
8.662847876548767090e-01,8.766490817070007324e-01
4.348773360252380371e-01,-1.193010568618774414e+00
1.172981783747673035e-01,-5.502710342407226562e-01
2.384964525699615479e-01,-1.480831056833267212e-01
4.455509483814239502e-01,1.206978082656860352e+00
-1.246374130249023438e+00,-2.556887827813625336e-02
1.532618105411529541e-01,1.318531930446624756e-01
-1.224856615066528320e+00,-6.780927628278732300e-02
-2.186018079519271851e-01,-7.566239833831787109e-01
-4.146257340908050537e-01,1.159715652465820312e+00
1.126732826232910156e+00,4.896883070468902588e-01
-5.266955494880676270e-01,4.565882384777069092e-01
9.353577494621276855e-01,-8.656140565872192383e-01
-4.884243011474609375e-01,4.896980524063110352e-01
-2.038906961679458618e-01,-6.497400999069213867e-01
-7.770239114761352539e-01,1.698616594076156616e-01
8.167281746864318848e-01,-8.718754053115844727e-01
-2.545912265777587891e-01,6.536273360252380371e-01
-1.728166341781616211e-01,6.876632571220397949e-01
-2.571015357971191406e-01,-6.511015892028808594e-01
4.146892428398132324e-01,4.914377033710479736e-01
-1.982044875621795654e-01,-2.446366548538208008e-01
4.127040505409240723e-02,6.471086740493774414e-01
-1.237440943717956543e+00,5.103617310523986816e-01
1.099681407213211060e-01,-1.166274771094322205e-01
-1.093918442726135254e+00,4.229992330074310303e-01
-2.242124527692794800e-01,1.511922627687454224e-01
9.224545359611511230e-01,9.729618430137634277e-01
-6.535256505012512207e-01,1.613929271697998047e-01
1.232189536094665527e+00,-6.170265749096870422e-02
-2.149269133806228638e-01,-1.906737685203552246e-01
1.118491411209106445e+00,-4.358054995536804199e-01
4.401222467422485352e-01,1.219463348388671875e+00
-1.179361343383789062e+00,-5.398018360137939453e-01
4.719929397106170654e-01,-1.179816961288452148e+00
1.336205750703811646e-01,2.206075787544250488e-01
6.364471316337585449e-01,1.931860595941543579e-01
-9.148247838020324707e-01,9.448226690292358398e-01
-6.800873875617980957e-01,2.198692858219146729e-01
2.357098460197448730e-01,-2.198630273342132568e-01
8.826203346252441406e-01,-8.935928344726562500e-01
-8.994486331939697266e-01,8.288774490356445312e-01
-9.065774083137512207e-01,8.797661066055297852e-01
5.309934020042419434e-01,5.437045693397521973e-01
-2.592681646347045898e-01,-1.713090240955352783e-01
4.845307767391204834e-02,-6.910556554794311523e-01
-1.345296669751405716e-02,1.299927234649658203e+00
5.201184749603271484e-01,-4.780450165271759033e-01
1.248506546020507812e+00,1.212141439318656921e-01
1.945154219865798950e-01,7.178683876991271973e-01
