I,Q
5.205095410346984863e-01,1.337434172630310059e+00
7.142155766487121582e-01,3.902000784873962402e-01
4.974939227104187012e-01,-3.230462074279785156e-01
1.863059550523757935e-01,2.109152376651763916e-01
9.562824368476867676e-01,-6.308707594871520996e-01
-1.370481252670288086e+00,-4.039627313613891602e-01
5.324968099594116211e-01,-3.419911563396453857e-01
-1.243424892425537109e+00,1.206275224685668945e-01
1.362533569335937500e+00,4.177882373332977295e-01
-5.408453941345214844e-01,-6.493200063705444336e-01
5.300196409225463867e-01,1.347543716430664062e+00
1.275550127029418945e+00,-1.079764962196350098e-01
9.716951847076416016e-01,-6.063961982727050781e-01
2.119221538305282593e-01,7.369881868362426758e-01
-7.170920968055725098e-01,-3.917329013347625732e-02
-1.916555464267730713e-01,1.229890733957290649e-01
-9.681509137153625488e-01,-1.180742383003234863e+00
1.747730076313018799e-01,7.438657283782958984e-01
-1.359424352645874023e+00,-3.864464759826660156e-01
-5.290035009384155273e-01,-1.307283997535705566e+00
4.991233944892883301e-01,-3.707653880119323730e-01
-2.030459195375442505e-01,1.196950823068618774e-01
-5.332318544387817383e-01,-6.586946249008178711e-01
-5.066223144531250000e-01,3.480262458324432373e-01
-7.035458087921142578e-01,-3.921411633491516113e-01
9.793520569801330566e-01,1.198968529701232910e+00
1.711401641368865967e-01,2.281901836395263672e-01
5.456948876380920410e-01,-1.031442403793334961e+00
1.914056986570358276e-01,7.320001125335693359e-01
-5.222200155258178711e-01,-6.442412137985229492e-01
-2.105021178722381592e-01,-7.295909523963928223e-01
6.922566890716552734e-01,1.739011704921722412e-02
-1.276111364364624023e+00,-8.862242698669433594e-01
1.364650726318359375e-01,-6.368645429611206055e-01
5.116280913352966309e-01,-3.843121528625488281e-01
-9.505362510681152344e-01,6.321878433227539062e-01
8.075233548879623413e-03,1.282924532890319824e+00
-5.103408694267272949e-01,-6.268821954727172852e-01
2.016835808753967285e-01,2.132971435785293579e-01
-5.000709891319274902e-01,-6.179625988006591797e-01
-5.156710147857666016e-01,3.171535134315490723e-01
-1.865096539258956909e-01,-2.435933649539947510e-01
2.125285416841506958e-01,-1.087793335318565369e-01
1.859012395143508911e-01,2.350461930036544800e-01
5.407992005348205566e-01,1.333257198333740234e+00
5.469956398010253906e-01,6.539139747619628906e-01
-5.129249095916748047e-01,1.037691235542297363e+00
-1.256118059158325195e+00,1.085991859436035156e-01
-5.106348395347595215e-01,-6.370099782943725586e-01
1.783404946327209473e-01,7.454294562339782715e-01
