I,Q
-1.277322053909301758e+00,-3.390995040535926819e-02
9.098202586174011230e-01,-8.953383564949035645e-01
-1.803556382656097412e-01,1.701068431138992310e-01
2.010302990674972534e-01,-6.611623764038085938e-01
2.147788852453231812e-01,-6.549472212791442871e-01
6.772207617759704590e-01,-1.251191794872283936e-01
4.280609488487243652e-01,1.201180696487426758e+00
-1.272022247314453125e+00,-1.420945581048727036e-02
-1.035200525075197220e-02,1.279853463172912598e+00
1.181644558906555176e+00,4.753946959972381592e-01
-4.686054289340972900e-01,1.189634323120117188e+00
-4.889770746231079102e-01,4.838416874408721924e-01
1.276648998260498047e+00,-2.127885073423385620e-02
-4.773907661437988281e-01,1.184608221054077148e+00
1.738463193178176880e-01,-1.695446670055389404e-01
-5.076333880424499512e-01,4.675379097461700439e-01
6.716823577880859375e-01,-1.502892673015594482e-01
-9.040621519088745117e-01,-8.992986083030700684e-01
-5.108572244644165039e-01,1.171914696693420410e+00
-4.661434590816497803e-01,1.194391727447509766e+00
-1.725821942090988159e-01,1.684946566820144653e-01
-1.723767817020416260e-01,1.752362698316574097e-01
1.664087921380996704e-01,-1.772349178791046143e-01
2.112893387675285339e-02,1.278765916824340820e+00
-1.724962592124938965e-01,6.642708778381347656e-01
6.734089255332946777e-01,1.494262814521789551e-01
1.143246531486511230e+00,-5.624788999557495117e-01
4.949373006820678711e-01,4.791348576545715332e-01
9.345319867134094238e-01,8.721525073051452637e-01
-1.275574088096618652e+00,5.016512796282768250e-02
2.063760906457901001e-01,6.549111604690551758e-01
1.607331633567810059e-01,-1.790026724338531494e-01
6.607518792152404785e-01,-1.916759312152862549e-01
-9.291322231292724609e-01,8.835642933845520020e-01
1.775126904249191284e-01,-6.736825108528137207e-01
6.728489995002746582e-01,1.627098619937896729e-01
-9.106088280677795410e-01,-8.927991390228271484e-01
-4.875832498073577881e-01,-4.810939431190490723e-01
-4.715193510055541992e-01,4.947448968887329102e-01
4.728465080261230469e-01,5.070231556892395020e-01
-8.441039919853210449e-01,-9.598032236099243164e-01
-5.646182298660278320e-01,1.141892671585083008e+00
-6.513729095458984375e-01,-2.059767842292785645e-01
-1.794065535068511963e-01,6.659275293350219727e-01
-1.175334095954895020e+00,-4.935370087623596191e-01
-4.887486100196838379e-01,4.812593758106231689e-01
-4.844552576541900635e-01,-4.844675958156585693e-01
1.194669842720031738e+00,-4.588151574134826660e-01
1.706987619400024414e-01,6.672236919403076172e-01
-4.908132553100585938e-01,4.901627898216247559e-01
1.919218301773071289e-01,6.636896133422851562e-01
1.771661788225173950e-01,6.666573882102966309e-01
-6.755864024162292480e-01,1.499884575605392456e-01
-2.042002975940704346e-02,1.274853587150573730e+00
-6.691365242004394531e-01,1.640622615814208984e-01
-6.634806990623474121e-01,-1.748958677053451538e-01
-6.710822582244873047e-01,1.589475572109222412e-01
-1.759768724441528320e-01,1.715439110994338989e-01
9.112080931663513184e-01,-8.975902795791625977e-01
-1.914648115634918213e-01,6.593049168586730957e-01
6.687777042388916016e-01,-1.768644154071807861e-01
1.173980236053466797e+00,-5.044392347335815430e-01
1.665319651365280151e-01,1.735365092754364014e-01
1.277743101119995117e+00,3.892445564270019531e-02
1.872291564941406250e-01,-6.585150361061096191e-01
-9.288052320480346680e-01,-8.691838383674621582e-01
-1.602114140987396240e-01,1.826068311929702759e-01
6.601837873458862305e-01,-2.080047428607940674e-01
-1.191688060760498047e+00,4.682279527187347412e-01
2.114542424678802490e-01,-6.498993635177612305e-01
-5.045332908630371094e-01,4.704009890556335449e-01
7.207626849412918091e-02,-1.266327261924743652e+00
-4.468763172626495361e-01,-1.198633551597595215e+00
6.566808819770812988e-01,2.024300992488861084e-01
2.269417494535446167e-01,-6.491037011146545410e-01
-2.195349484682083130e-01,6.567254066467285156e-01
-1.842167377471923828e-01,1.687641739845275879e-01
-6.786592602729797363e-01,1.494670510292053223e-01
1.954133361577987671e-01,-6.640526652336120605e-01
-4.894013404846191406e-01,4.892437756061553955e-01
8.839929476380348206e-03,-1.278140902519226074e+00
-6.518349647521972656e-01,1.980406939983367920e-01
-6.668480634689331055e-01,1.857823878526687622e-01
9.090573787689208984e-01,8.897089362144470215e-01
1.682298481464385986e-01,1.824394315481185913e-01
-5.581651348620653152e-04,1.280033469200134277e+00
9.003617167472839355e-01,9.097355604171752930e-01
