I,Q
-7.259653806686401367e-01,7.257010340690612793e-01
-3.516435099299997091e-04,9.562364220619201660e-01
-9.300654754042625427e-03,1.009741663932800293e+00
-1.034815430641174316e+00,-6.078047212213277817e-03
-7.576292157173156738e-01,-7.559556365013122559e-01
1.322649070061743259e-03,-1.039085268974304199e+00
1.019061923027038574e+00,-4.864838905632495880e-03
-6.900733113288879395e-01,6.987698078155517578e-01
-9.451768994331359863e-01,5.702365655452013016e-03
6.708868741989135742e-01,6.755640506744384766e-01
9.617432951927185059e-01,4.247276578098535538e-03
2.075032098218798637e-03,9.629354476928710938e-01
-1.067384123802185059e+00,3.998597618192434311e-03
-9.749857783317565918e-01,3.695043968036770821e-03
1.025382757186889648e+00,-2.244147006422281265e-03
-1.025651931762695312e+00,3.208858659490942955e-03
1.045364737510681152e+00,3.069691127166152000e-03
6.851600408554077148e-01,-6.806792616844177246e-01
7.026035189628601074e-01,7.029677033424377441e-01
-6.890788674354553223e-01,6.985366344451904297e-01
-6.907324194908142090e-01,-6.939467191696166992e-01
9.986323118209838867e-01,3.178708022460341454e-03
-6.925219893455505371e-01,6.836559772491455078e-01
6.130677647888660431e-03,-1.012687921524047852e+00
-7.278035879135131836e-01,7.295293807983398438e-01
2.783666132017970085e-03,1.015550851821899414e+00
9.471973776817321777e-01,2.323133870959281921e-03
9.383975267410278320e-01,-4.557382315397262573e-03
-7.031118273735046387e-01,-6.988800764083862305e-01
-7.102456092834472656e-01,7.093362212181091309e-01
-6.810644175857305527e-03,1.016386628150939941e+00
-1.025624394416809082e+00,-3.394926665350794792e-03
-1.023398995399475098e+00,-8.258926682174205780e-03
-1.069994211196899414e+00,-5.010189954191446304e-03
7.141917943954467773e-01,6.996030807495117188e-01
-1.019315719604492188e+00,3.824951360002160072e-03
6.976918578147888184e-01,-6.934725046157836914e-01
-1.026615738868713379e+00,4.021907225251197815e-03
-6.803510785102844238e-01,-6.928151249885559082e-01
1.035681843757629395e+00,6.316581275314092636e-03
-7.317754626274108887e-01,7.278447747230529785e-01
-7.619878160767257214e-04,9.946972727775573730e-01
1.030447721481323242e+00,-6.093073170632123947e-05
6.756063103675842285e-01,6.783292889595031738e-01
9.124340415000915527e-01,-2.043457701802253723e-03
8.391370996832847595e-03,-1.007842540740966797e+00
7.341468334197998047e-01,-7.257213592529296875e-01
9.532050490379333496e-01,-3.433539764955639839e-03
7.055976390838623047e-01,7.010952234268188477e-01
6.876206994056701660e-01,7.027947902679443359e-01
1.004672288894653320e+00,6.064360495656728745e-03
7.494468688964843750e-01,-7.452741861343383789e-01
-9.732225537300109863e-01,1.036490779370069504e-03
-7.270622849464416504e-01,-7.333300113677978516e-01
6.920206546783447266e-01,-6.982282400131225586e-01
-9.874211549758911133e-01,-3.862130222842097282e-03
-5.234371870756149292e-03,-1.007659554481506348e+00
-3.728024428710341454e-03,9.986204504966735840e-01
-6.761931180953979492e-01,-6.821815371513366699e-01
2.744454191997647285e-03,-1.007062911987304688e+00
-6.794913411140441895e-01,6.911272406578063965e-01
-7.113672494888305664e-01,7.132648825645446777e-01
-7.457039356231689453e-01,-7.431881427764892578e-01
6.788071393966674805e-01,-6.727167367935180664e-01
-9.620649218559265137e-01,9.827499277889728546e-03
7.493723630905151367e-01,-7.356162667274475098e-01
7.636840939521789551e-01,-7.583936452865600586e-01
6.148313637822866440e-03,9.656943678855895996e-01
-3.757184138521552086e-03,9.965844154357910156e-01
-1.049706578254699707e+00,1.062584295868873596e-02
9.696503877639770508e-01,-3.241034690290689468e-03
1.001165390014648438e+00,1.648276299238204956e-02
7.259058356285095215e-01,-7.318280935287475586e-01
6.921623945236206055e-01,6.901533007621765137e-01
6.948672533035278320e-01,-6.748559474945068359e-01
-1.017675995826721191e+00,7.925368845462799072e-03
-1.217487175017595291e-02,9.685587882995605469e-01
6.837878823280334473e-01,6.945840716361999512e-01
-7.256827950477600098e-01,7.081270813941955566e-01
7.087348699569702148e-01,7.197075486183166504e-01
5.075964145362377167e-03,-9.922907352447509766e-01
1.032641291618347168e+00,3.575985785573720932e-03
9.632508754730224609e-01,1.498580165207386017e-02
-6.886754631996154785e-01,6.757423281669616699e-01
-9.680641889572143555e-01,1.322282385081052780e-02
6.951299961656332016e-03,9.687671065330505371e-01
1.136093959212303162e-02,1.010970711708068848e+00
9.860390424728393555e-01,-9.941232390701770782e-03
7.236006204038858414e-04,9.516268968582153320e-01
-7.161689996719360352e-01,7.083697319030761719e-01
-9.751788973808288574e-01,8.101740851998329163e-03
-6.903866529464721680e-01,-6.929411292076110840e-01
7.133002281188964844e-01,-7.127563357353210449e-01
1.323570962995290756e-02,9.706109166145324707e-01
-7.354000806808471680e-01,-7.419421076774597168e-01
-6.473773717880249023e-01,6.511082053184509277e-01
9.716038703918457031e-01,5.001498386263847351e-03
-1.518050092272460461e-03,-9.804226756095886230e-01
-9.252804517745971680e-01,-1.788571011275053024e-03
6.505213379859924316e-01,6.535344123840332031e-01
1.050335075706243515e-02,1.039445877075195312e+00
-7.355305552482604980e-01,-7.343065142631530762e-01
7.323166728019714355e-01,7.304178476333618164e-01
1.969822915270924568e-03,-1.017532467842102051e+00
1.204157993197441101e-02,-9.974461197853088379e-01
9.889669418334960938e-01,1.362997136311605573e-04
1.054369330406188965e+00,-5.766269285231828690e-03
6.801043637096881866e-04,-9.338378310203552246e-01
-1.042638182640075684e+00,1.359036285430192947e-02
9.783080816268920898e-01,-3.567587351426482201e-03
-6.867561340332031250e-01,6.799832582473754883e-01
-1.103533525019884109e-02,-1.034546971321105957e+00
3.478419384919106960e-04,-9.931380152702331543e-01
-7.342175841331481934e-01,7.282506823539733887e-01
1.280390279134735465e-04,-9.804862141609191895e-01
4.369984846562147141e-03,1.001086354255676270e+00
7.073472738265991211e-01,-7.057654857635498047e-01
-1.022640347480773926e+00,3.879001596942543983e-03
-1.073277276009321213e-02,-1.007822513580322266e+00
6.859187483787536621e-01,-6.720691919326782227e-01
-7.211606502532958984e-01,7.241195440292358398e-01
-7.780163884162902832e-01,7.811496853828430176e-01
-7.112920880317687988e-01,-7.097124457359313965e-01
-6.873088479042053223e-01,-6.879545450210571289e-01
9.926565885543823242e-01,-3.173818811774253845e-03
7.088758349418640137e-01,7.081572413444519043e-01
-1.233016722835600376e-03,-9.663713574409484863e-01
-1.028495957143604755e-03,-9.578627347946166992e-01
6.739906668663024902e-01,6.673723459243774414e-01
7.372174859046936035e-01,-7.338562011718750000e-01
7.262242436408996582e-01,7.192218899726867676e-01
-1.001291751861572266e+00,-4.358292091637849808e-03
-7.044771313667297363e-01,6.965500116348266602e-01
7.396013736724853516e-01,-7.438268065452575684e-01
7.340841293334960938e-01,7.442483901977539062e-01
9.711250662803649902e-01,-1.369904377497732639e-03
-7.066024541854858398e-01,7.064060568809509277e-01
-8.645579218864440918e-03,1.053147435188293457e+00
-3.860345575958490372e-03,-9.578949809074401855e-01
7.199814915657043457e-01,7.351203560829162598e-01
7.087795138359069824e-01,7.172085642814636230e-01
-7.129061818122863770e-01,7.269869446754455566e-01
-7.171397805213928223e-01,7.038027644157409668e-01
4.289294593036174774e-03,9.612821340560913086e-01
9.969325661659240723e-01,-3.220621962100267410e-03
-7.366146892309188843e-03,1.018561840057373047e+00
6.969704031944274902e-01,-7.072469592094421387e-01
-8.880401030182838440e-03,-9.591891169548034668e-01
7.675699423998594284e-03,-1.028214097023010254e+00
7.240946888923645020e-01,7.269877791404724121e-01
-9.719895720481872559e-01,-4.454548470675945282e-03
-6.954268217086791992e-01,-6.901136636734008789e-01
-4.571871832013130188e-03,-9.723872542381286621e-01
-6.865447163581848145e-01,6.919561028480529785e-01
9.739378690719604492e-01,-1.770431734621524811e-02
1.059101056307554245e-02,-1.043839812278747559e+00
1.027879238128662109e+00,-2.160010393708944321e-03
7.013845443725585938e-01,-7.162929177284240723e-01
7.114079780876636505e-03,-1.007502555847167969e+00
6.906878352165222168e-01,-6.867496967315673828e-01
-7.240694165229797363e-01,7.421997785568237305e-01
-7.390542030334472656e-01,-7.346574664115905762e-01
7.288784980773925781e-01,-7.287440299987792969e-01
7.075701951980590820e-01,-7.031210660934448242e-01
-1.061937570571899414e+00,6.580673158168792725e-03
8.277690038084983826e-03,1.001797676086425781e+00
-7.519825100898742676e-01,-7.301350235939025879e-01
1.278460375033318996e-03,-1.012797713279724121e+00
6.071804091334342957e-03,-1.007185697555541992e+00
-1.044931292533874512e+00,-4.015392158180475235e-03
-7.005252838134765625e-01,-7.074896693229675293e-01
-7.267698049545288086e-01,-7.259916663169860840e-01
-6.573059558868408203e-01,-6.581225991249084473e-01
4.604462068527936935e-03,1.046777844429016113e+00
6.868156790733337402e-01,6.773176193237304688e-01
-3.873143810778856277e-03,1.034729480743408203e+00
7.255547642707824707e-01,7.282985448837280273e-01
1.006969928741455078e+00,-6.529339589178562164e-03
2.209795638918876648e-03,-1.022832512855529785e+00
1.701155561022460461e-03,-9.853506684303283691e-01
7.893466353416442871e-01,-7.806423902511596680e-01
-6.744061112403869629e-01,6.726007461547851562e-01
-4.421821329742670059e-03,-9.832639694213867188e-01
-6.976421922445297241e-03,-1.053674221038818359e+00
-7.738124579191207886e-03,-1.016883969306945801e+00
-7.033464908599853516e-01,-7.088052630424499512e-01
