I,Q
9.847709536552429199e-01,1.314851082861423492e-02
9.970351457595825195e-01,4.393388051539659500e-03
-1.074697136878967285e+00,5.153886973857879639e-02
5.549357272684574127e-03,9.527029991149902344e-01
-7.509654164314270020e-01,-7.382820248603820801e-01
1.025586854666471481e-02,1.000975489616394043e+00
1.025453686714172363e+00,-3.858950361609458923e-02
7.452376931905746460e-02,-1.003655910491943359e+00
-3.299546241760253906e-02,1.048814415931701660e+00
6.577658057212829590e-01,-7.170681357383728027e-01
7.190880775451660156e-01,7.427459955215454102e-01
-9.826067090034484863e-01,1.343034766614437103e-02
-7.068661451339721680e-01,7.372927665710449219e-01
1.057999730110168457e+00,3.031905367970466614e-02
9.947347044944763184e-01,-1.762434653937816620e-02
-7.279624938964843750e-01,7.323825359344482422e-01
-6.972064375877380371e-01,-6.834152936935424805e-01
-7.553986907005310059e-01,-6.218673586845397949e-01
4.189195111393928528e-02,-9.551324844360351562e-01
-9.073996916413307190e-03,1.087403655052185059e+00
-1.070034623146057129e+00,-9.687601029872894287e-02
-5.344598367810249329e-02,-9.745207428932189941e-01
9.724430441856384277e-01,-4.574304446578025818e-02
-9.514213204383850098e-01,3.367013111710548401e-02
1.033493518829345703e+00,-2.006191574037075043e-02
-9.778514504432678223e-01,2.225548774003982544e-02
-1.037843227386474609e+00,1.967075280845165253e-02
7.639383673667907715e-01,6.676962375640869141e-01
-7.022445206530392170e-04,-9.664044380187988281e-01
1.003950357437133789e+00,-1.124101132154464722e-02
-7.610434889793395996e-01,6.982751488685607910e-01
-1.065793991088867188e+00,-2.689089626073837280e-02
-1.899915933609008789e-02,9.348171949386596680e-01
-8.650059103965759277e-01,6.686359047889709473e-01
-7.413628101348876953e-01,5.571599006652832031e-01
6.029955670237541199e-02,1.030011415481567383e+00
2.310497500002384186e-02,-9.885063767433166504e-01
-9.620607495307922363e-01,3.141999244689941406e-02
7.566547989845275879e-01,6.531762480735778809e-01
-9.326764941215515137e-01,4.955649748444557190e-02
-9.773116111755371094e-01,-5.317269265651702881e-02
9.938678145408630371e-01,-5.313909426331520081e-02
7.876845598220825195e-01,7.066255211830139160e-01
1.004391431808471680e+00,2.737362496554851532e-02
-9.571759700775146484e-01,-1.814252324402332306e-02
7.740447521209716797e-01,7.256275415420532227e-01
-6.701762676239013672e-01,7.359924912452697754e-01
7.453129291534423828e-01,-7.362704277038574219e-01
1.037097930908203125e+00,5.021772813051939011e-04
-7.451913356781005859e-01,7.939206361770629883e-01
6.975575685501098633e-01,-6.585245728492736816e-01
-7.023488879203796387e-01,-6.801139116287231445e-01
6.444719433784484863e-01,7.157554030418395996e-01
1.020557880401611328e+00,-2.838451974093914032e-02
6.849674582481384277e-01,6.783331632614135742e-01
-9.599424600601196289e-01,-3.136113286018371582e-02
-7.492864727973937988e-01,6.452494263648986816e-01
6.768471598625183105e-01,-6.595960855484008789e-01
3.664233162999153137e-02,9.865061044692993164e-01
-6.850945949554443359e-01,6.879411935806274414e-01
7.751870751380920410e-01,-6.787796616554260254e-01
1.603511720895767212e-02,9.991213083267211914e-01
-1.029412865638732910e+00,-1.009037531912326813e-02
2.413931861519813538e-02,1.027200460433959961e+00
-6.168950796127319336e-01,-6.257149577140808105e-01
-6.195958852767944336e-01,7.257983088493347168e-01
1.012611031532287598e+00,2.694853208959102631e-02
-9.490824937820434570e-01,-6.064152717590332031e-02
9.693444967269897461e-01,7.322286069393157959e-02
7.268478870391845703e-01,-6.257372498512268066e-01
6.418708562850952148e-01,-7.338226437568664551e-01
5.389901995658874512e-02,1.133552193641662598e+00
-8.551658131182193756e-03,9.621349573135375977e-01
-7.152445912361145020e-01,-7.317599058151245117e-01
8.330430984497070312e-01,-6.653230190277099609e-01
-3.242211043834686279e-02,-9.369934797286987305e-01
-1.021315529942512512e-01,1.066884994506835938e+00
-1.208861842751502991e-01,9.671684503555297852e-01
9.434488415718078613e-01,-8.266075700521469116e-02
-1.569081097841262817e-02,1.072282195091247559e+00
4.133035242557525635e-02,-1.021513700485229492e+00
8.265608549118041992e-01,7.354251742362976074e-01
-7.414327263832092285e-01,8.319365382194519043e-01
9.565845131874084473e-01,-6.440541893243789673e-02
-9.787387847900390625e-01,1.097751930356025696e-01
1.058185577392578125e+00,5.094642192125320435e-02
1.090326189994812012e+00,-2.026088535785675049e-02
-7.054582238197326660e-01,6.258487105369567871e-01
7.132672071456909180e-01,-6.634067893028259277e-01
5.746494280174374580e-04,-1.062620162963867188e+00
-7.148246169090270996e-01,7.741170525550842285e-01
-8.833652138710021973e-01,9.598355740308761597e-02
7.065936326980590820e-01,-7.022497057914733887e-01
8.161726593971252441e-01,-7.670871615409851074e-01
9.998117089271545410e-01,-5.087794736027717590e-02
-1.025000095367431641e+00,5.798116698861122131e-02
2.024778723716735840e-02,1.041584610939025879e+00
6.945775151252746582e-01,6.732456088066101074e-01
-9.450650811195373535e-01,-1.547011360526084900e-02
3.035543113946914673e-02,-9.431130290031433105e-01
-6.259069442749023438e-01,-7.293887734413146973e-01
