I,Q
-7.586479187011718750e-01,4.603697061538696289e-01
-7.542462944984436035e-01,-9.553366303443908691e-01
7.263728380203247070e-01,9.649549126625061035e-01
1.991700846701860428e-03,9.847226738929748535e-01
-1.574115455150604248e-02,9.842839837074279785e-01
7.568629980087280273e-01,9.580119848251342773e-01
-7.440466284751892090e-01,4.477706253528594971e-01
-1.038413286209106445e+00,-3.450219631195068359e-01
7.413398623466491699e-01,9.689921140670776367e-01
7.354733347892761230e-01,9.472452998161315918e-01
4.300171509385108948e-03,-9.865676760673522949e-01
1.071403026580810547e+00,3.592374324798583984e-01
7.532684206962585449e-01,-4.475491046905517578e-01
-7.323656082153320312e-01,4.748567044734954834e-01
-7.550718188285827637e-01,4.511847198009490967e-01
-7.606673240661621094e-01,4.637874066829681396e-01
3.553288755938410759e-03,-9.908407330513000488e-01
-1.082492589950561523e+00,-3.296620547771453857e-01
1.080195784568786621e+00,3.727412223815917969e-01
-3.256716998293995857e-03,-9.716274738311767578e-01
-2.513587288558483124e-02,-1.040964245796203613e+00
-7.723642587661743164e-01,4.599834680557250977e-01
7.432917356491088867e-01,9.377770423889160156e-01
1.082595586776733398e+00,3.697628080844879150e-01
1.202104613184928894e-02,9.972199797630310059e-01
7.949251681566238403e-03,-9.898692369461059570e-01
7.395999431610107422e-01,-4.556174576282501221e-01
-1.044763207435607910e+00,-3.591717481613159180e-01
7.529301047325134277e-01,9.677012562751770020e-01
1.417799154296517372e-03,-1.003318190574645996e+00
7.338238954544067383e-01,-4.671336710453033447e-01
-1.088774323463439941e+00,-3.695241510868072510e-01
7.463632225990295410e-01,9.322437047958374023e-01
-5.667104944586753845e-02,9.682749509811401367e-01
-1.077455163002014160e+00,-4.072404801845550537e-01
2.164190635085105896e-02,-9.827226400375366211e-01
8.292526938021183014e-03,1.006618142127990723e+00
-7.395654916763305664e-01,4.728439450263977051e-01
-7.353990077972412109e-01,4.454644322395324707e-01
7.773449420928955078e-01,9.811624288558959961e-01
8.143005892634391785e-03,-1.015220642089843750e+00
7.509812712669372559e-01,9.378308057785034180e-01
2.891989611089229584e-02,-9.905875325202941895e-01
1.066736578941345215e+00,3.623906970024108887e-01
-1.049790501594543457e+00,-3.536699116230010986e-01
-1.041135907173156738e+00,-3.384508788585662842e-01
1.325460895895957947e-02,1.014121294021606445e+00
-7.394697070121765137e-01,4.524619579315185547e-01
-1.051845669746398926e+00,-3.480679690837860107e-01
-1.366881281137466431e-02,1.024726629257202148e+00
7.497549057006835938e-01,-4.425137042999267578e-01
-7.514744997024536133e-01,-9.468040466308593750e-01
-1.087640404701232910e+00,-3.571736514568328857e-01
7.605605125427246094e-01,9.493433237075805664e-01
-7.945934310555458069e-03,9.876740574836730957e-01
-7.388052344322204590e-01,-9.622719883918762207e-01
7.380435466766357422e-01,-4.836036860942840576e-01
-7.640424966812133789e-01,-9.440515041351318359e-01
1.315117441117763519e-02,9.998072385787963867e-01
7.610824704170227051e-01,9.526224136352539062e-01
-7.287476658821105957e-01,-9.388302564620971680e-01
5.755108781158924103e-03,1.001609325408935547e+00
-1.075716853141784668e+00,-3.595402538776397705e-01
8.663759566843509674e-03,-9.879664182662963867e-01
-7.208045721054077148e-01,-9.183202981948852539e-01
3.140823915600776672e-02,1.016696453094482422e+00
-7.486559748649597168e-01,4.683277010917663574e-01
-7.349074482917785645e-01,4.433659315109252930e-01
-1.100246235728263855e-02,1.021029949188232422e+00
7.085225544869899750e-03,1.029763221740722656e+00
1.041746735572814941e+00,3.358917534351348877e-01
1.934471167623996735e-02,1.051405072212219238e+00
-7.562513351440429688e-01,-9.702394604682922363e-01
-7.561028599739074707e-01,-9.657385349273681641e-01
1.110359787940979004e+00,3.816886544227600098e-01
-1.076796889305114746e+00,-3.352677524089813232e-01
-1.101816058158874512e+00,-3.422440588474273682e-01
-7.965689897537231445e-01,-9.818915128707885742e-01
7.328855991363525391e-01,-4.923211038112640381e-01
-5.631534848362207413e-03,1.022491097450256348e+00
-1.050326704978942871e+00,-3.549833595752716064e-01
7.960549592971801758e-01,-4.340129196643829346e-01
7.408623099327087402e-01,-4.197661280632019043e-01
-1.558210141956806183e-02,-1.026860237121582031e+00
-7.455513477325439453e-01,-9.169494509696960449e-01
-7.322989106178283691e-01,4.818291664123535156e-01
-7.207634449005126953e-01,-9.525586366653442383e-01
-1.064568638801574707e+00,-3.798293769359588623e-01
1.067371487617492676e+00,3.681020736694335938e-01
7.533884048461914062e-01,9.354330301284790039e-01
1.062390327453613281e+00,3.743073940277099609e-01
7.950431704521179199e-01,-4.115481376647949219e-01
-1.841698394855484366e-04,1.001575708389282227e+00
3.914446011185646057e-02,9.927492141723632812e-01
-6.758350355084985495e-05,9.828342795372009277e-01
-1.074133038520812988e+00,-3.360791206359863281e-01
1.072427392005920410e+00,3.690631687641143799e-01
7.486853003501892090e-01,9.435663819313049316e-01
1.971649378538131714e-02,1.001314878463745117e+00
1.089476328343153000e-02,-9.772249460220336914e-01
-7.240389585494995117e-01,-9.543240666389465332e-01
7.449737787246704102e-01,-4.649646878242492676e-01
-1.073529481887817383e+00,-3.682311773300170898e-01
-1.059548497200012207e+00,-3.571340143680572510e-01
3.465283662080764771e-02,-9.681714773178100586e-01
1.061233401298522949e+00,3.517188727855682373e-01
8.053853176534175873e-03,9.877759814262390137e-01
7.552725672721862793e-01,9.775747060775756836e-01
-7.722500562667846680e-01,-9.271529912948608398e-01
-2.110457420349121094e-02,9.831836819648742676e-01
-7.743330597877502441e-01,-9.627404212951660156e-01
7.220555543899536133e-01,-4.924398660659790039e-01
7.541956305503845215e-01,-4.589508175849914551e-01
-6.603895686566829681e-03,9.883603453636169434e-01
-1.064779400825500488e+00,-3.762152791023254395e-01
7.657625675201416016e-01,-4.631043672561645508e-01
7.587186098098754883e-01,-4.568085968494415283e-01
1.059751987457275391e+00,3.611729741096496582e-01
-7.839932441711425781e-01,-9.677134156227111816e-01
8.092954754829406738e-01,-4.520225822925567627e-01
1.432887185364961624e-02,9.991135001182556152e-01
7.478951215744018555e-01,9.674299955368041992e-01
7.468535900115966797e-01,-4.615085124969482422e-01
-7.457432150840759277e-01,-9.488152265548706055e-01
-7.772748470306396484e-01,4.411635696887969971e-01
7.381256222724914551e-01,-4.788012504577636719e-01
-3.750943113118410110e-03,9.539882540702819824e-01
-7.562923431396484375e-01,-9.617547988891601562e-01
-1.065703749656677246e+00,-3.721832036972045898e-01
2.332831500098109245e-03,1.007346034049987793e+00
-1.036922335624694824e+00,-3.355535566806793213e-01
-1.852871500886976719e-03,9.875606894493103027e-01
5.714799277484416962e-03,-1.025016665458679199e+00
-8.756017312407493591e-03,-1.005600333213806152e+00
1.055131912231445312e+00,3.663631379604339600e-01
-7.997170905582606792e-04,9.959061741828918457e-01
-7.451796531677246094e-01,-9.618597626686096191e-01
-2.386288717389106750e-02,1.005920886993408203e+00
-1.162591110914945602e-02,-9.970162510871887207e-01
1.063303828239440918e+00,3.906206190586090088e-01
-7.931843400001525879e-01,4.293359220027923584e-01
-1.032452702522277832e+00,-3.352093994617462158e-01
-1.084751844406127930e+00,-3.767863512039184570e-01
-7.401623129844665527e-01,-9.279230833053588867e-01
7.625804543495178223e-01,9.507762193679809570e-01
-2.106716111302375793e-02,1.012727975845336914e+00
-7.968690246343612671e-03,9.766449332237243652e-01
1.038174152374267578e+00,3.223615884780883789e-01
-1.043634653091430664e+00,-3.374792337417602539e-01
1.254428178071975708e-02,-9.763519763946533203e-01
7.493615746498107910e-01,9.427399039268493652e-01
-7.545601725578308105e-01,-9.435364007949829102e-01
-1.350860297679901123e-02,1.013332605361938477e+00
7.697021365165710449e-01,9.614350199699401855e-01
-9.299357421696186066e-03,-1.052276730537414551e+00
7.825880646705627441e-01,-4.537569582462310791e-01
7.409336566925048828e-01,-4.674855768680572510e-01
7.070028185844421387e-01,-4.695709049701690674e-01
7.735993266105651855e-01,-4.504315853118896484e-01
-1.074209809303283691e+00,-3.362471461296081543e-01
1.185452099889516830e-02,1.040590524673461914e+00
-7.717076539993286133e-01,4.457486271858215332e-01
-7.630223035812377930e-01,4.640817940235137939e-01
7.652354240417480469e-01,9.612826108932495117e-01
-7.935376167297363281e-01,4.614486396312713623e-01
-7.291983962059020996e-01,-9.386643767356872559e-01
-7.658318877220153809e-01,-9.164037704467773438e-01
-7.494975924491882324e-01,-9.804321527481079102e-01
7.706246972084045410e-01,9.610495567321777344e-01
-1.265287026762962341e-02,9.853316545486450195e-01
-4.860113374888896942e-03,9.746956229209899902e-01
-7.631036043167114258e-01,-9.669984579086303711e-01
-1.074827075004577637e+00,-3.673175871372222900e-01
-7.405112385749816895e-01,-9.630808830261230469e-01
-2.024843171238899231e-02,-1.052001357078552246e+00
1.054353475570678711e+00,3.443950116634368896e-01
7.571991682052612305e-01,9.688405394554138184e-01
-1.028959512710571289e+00,-3.584861755371093750e-01
6.299113854765892029e-03,-1.020003557205200195e+00
1.070138096809387207e+00,3.626412153244018555e-01
3.468680754303932190e-02,1.000449419021606445e+00
-1.058928370475769043e+00,-3.615566492080688477e-01
7.401340603828430176e-01,9.433680176734924316e-01
-1.918035186827182770e-02,-1.010837793350219727e+00
-7.748793959617614746e-01,4.888858199119567871e-01
-7.292035818099975586e-01,-9.407404065132141113e-01
7.378115653991699219e-01,9.605441093444824219e-01
7.640455961227416992e-01,9.514932036399841309e-01
1.058715939521789551e+00,3.372874855995178223e-01
7.717259526252746582e-01,9.398813247680664062e-01
1.050698995590209961e+00,3.170293867588043213e-01
-7.267733216285705566e-01,4.598227739334106445e-01
-7.720587253570556641e-01,4.518593847751617432e-01
-7.675148844718933105e-01,-9.712467193603515625e-01
7.647885084152221680e-01,9.727817773818969727e-01
-7.538545727729797363e-01,-9.556291699409484863e-01
7.439715862274169922e-01,-4.558098018169403076e-01
-1.105278849601745605e+00,-3.686834275722503662e-01
-7.839185595512390137e-01,-9.562641978263854980e-01
-1.092467546463012695e+00,-3.653717935085296631e-01
7.550629377365112305e-01,9.648069143295288086e-01
7.249789834022521973e-01,9.516595602035522461e-01
-2.564604766666889191e-02,9.931503534317016602e-01
7.435851693153381348e-01,-4.854954481124877930e-01
-8.020161986351013184e-01,-9.785025119781494141e-01
1.044521689414978027e+00,3.531000614166259766e-01
-7.750795483589172363e-01,-9.453879594802856445e-01
3.058913536369800568e-02,9.881399273872375488e-01
1.046280264854431152e+00,3.396508693695068359e-01
-1.058159589767456055e+00,-3.268301188945770264e-01
-7.492198348045349121e-01,-9.607467055320739746e-01
-1.592639274895191193e-02,9.740507602691650391e-01
-1.080726265907287598e+00,-3.642851710319519043e-01
1.043342232704162598e+00,3.631179034709930420e-01
7.358738183975219727e-01,-4.501271843910217285e-01
1.065252065658569336e+00,3.355227112770080566e-01
1.059227943420410156e+00,3.506146371364593506e-01
-1.345511432737112045e-02,1.012062549591064453e+00
-1.005816180258989334e-02,1.001729965209960938e+00
-1.069437861442565918e+00,-3.399934172630310059e-01
-7.587006092071533203e-01,4.699232876300811768e-01
-7.301982045173645020e-01,-9.651229977607727051e-01
-7.603995203971862793e-01,-9.557551741600036621e-01
-7.519713044166564941e-01,4.333647489547729492e-01
-1.333711552433669567e-03,-1.008173823356628418e+00
1.586675271391868591e-02,1.024408698081970215e+00
1.033767700195312500e+00,3.422547578811645508e-01
7.069118618965148926e-01,9.322894811630249023e-01
7.483803033828735352e-01,-4.515919685363769531e-01
-7.411969900131225586e-01,-9.496499300003051758e-01
7.430797815322875977e-01,-4.204748868942260742e-01
-7.473179697990417480e-01,4.775315523147583008e-01
7.521900534629821777e-01,9.806683063507080078e-01
-7.437356114387512207e-01,5.077384114265441895e-01
-7.637881040573120117e-01,-9.723581075668334961e-01
-7.671534419059753418e-01,-9.815171957015991211e-01
-7.530664801597595215e-01,-9.386683702468872070e-01
1.066625237464904785e+00,3.463826477527618408e-01
-1.101769566535949707e+00,-3.665938675403594971e-01
7.716625332832336426e-01,9.775290489196777344e-01
7.152391076087951660e-01,9.439974427223205566e-01
1.028353333473205566e+00,3.349631726741790771e-01
7.601445913314819336e-01,9.930274486541748047e-01
-1.026602506637573242e+00,-3.351902067661285400e-01
-5.305530503392219543e-03,9.886925220489501953e-01
-7.635239362716674805e-01,4.658243954181671143e-01
1.790847070515155792e-02,-9.758031368255615234e-01
7.465164661407470703e-01,-4.671421647071838379e-01
-1.081779122352600098e+00,-3.261325955390930176e-01
1.373270805925130844e-02,1.005096316337585449e+00
2.428309246897697449e-02,1.031762242317199707e+00
-7.555791139602661133e-01,4.817412197589874268e-01
7.122145891189575195e-01,-4.994885325431823730e-01
-2.876382693648338318e-02,-1.016663551330566406e+00
-7.527375221252441406e-01,4.808344244956970215e-01
1.015910413116216660e-02,-1.011199712753295898e+00
7.823078632354736328e-01,9.406630992889404297e-01
7.452938556671142578e-01,-4.524673223495483398e-01
-7.997818291187286377e-03,1.019463062286376953e+00
-1.067220449447631836e+00,-3.571504950523376465e-01
-1.045644521713256836e+00,-3.513385653495788574e-01
-7.365914583206176758e-01,-9.499483108520507812e-01
3.394449874758720398e-02,9.886302351951599121e-01
-1.952940598130226135e-02,-9.974551796913146973e-01
5.061705131083726883e-03,-9.578457474708557129e-01
-7.371791005134582520e-01,-9.607935547828674316e-01
-3.615006804466247559e-02,-1.028457760810852051e+00
7.463678121566772461e-01,-4.664988815784454346e-01
-7.535155415534973145e-01,4.405432939529418945e-01
-1.087301731109619141e+00,-3.686806559562683105e-01
