I,Q
6.907795667648315430e-01,-6.911300420761108398e-01
-7.246916890144348145e-01,-7.233973145484924316e-01
6.539419293403625488e-01,6.743645668029785156e-01
7.034512162208557129e-01,6.944334506988525391e-01
7.045336961746215820e-01,7.067276835441589355e-01
-7.049454450607299805e-01,-7.065385580062866211e-01
-7.100756764411926270e-01,7.077959179878234863e-01
-6.926143765449523926e-01,-7.060097455978393555e-01
-7.232615947723388672e-01,-7.090032696723937988e-01
6.860165596008300781e-01,6.926582455635070801e-01
6.830900907516479492e-01,6.870041489601135254e-01
6.887533664703369141e-01,6.880932450294494629e-01
7.063810825347900391e-01,-7.011606693267822266e-01
-7.156026363372802734e-01,-7.204829454421997070e-01
-6.872749328613281250e-01,-6.893355250358581543e-01
-6.902225017547607422e-01,6.909598112106323242e-01
7.130153179168701172e-01,7.153981924057006836e-01
7.047209739685058594e-01,7.278501987457275391e-01
-7.140948772430419922e-01,-7.135735154151916504e-01
-7.003943324089050293e-01,-6.840167045593261719e-01
-7.416690587997436523e-01,-7.464238405227661133e-01
-7.485131025314331055e-01,7.434933781623840332e-01
-7.121493816375732422e-01,-7.152743339538574219e-01
7.283676266670227051e-01,7.257606983184814453e-01
-6.826951503753662109e-01,-6.916490793228149414e-01
-7.000594139099121094e-01,7.076510787010192871e-01
-7.383934259414672852e-01,-7.281717061996459961e-01
7.106768488883972168e-01,-7.077104449272155762e-01
-7.056716084480285645e-01,7.113088965415954590e-01
6.888109445571899414e-01,-6.900296211242675781e-01
6.951900124549865723e-01,-7.059301137924194336e-01
7.207868099212646484e-01,-7.372778654098510742e-01
-7.145851254463195801e-01,-7.225646376609802246e-01
-7.509958744049072266e-01,-7.300144433975219727e-01
6.908360123634338379e-01,6.712593436241149902e-01
7.199619412422180176e-01,-7.043961882591247559e-01
7.041436433792114258e-01,-6.982588768005371094e-01
-7.087253332138061523e-01,7.207767367362976074e-01
-7.116581201553344727e-01,-7.297638654708862305e-01
-6.748284101486206055e-01,-6.777891516685485840e-01
-7.078615427017211914e-01,-7.209776043891906738e-01
7.305852174758911133e-01,-7.411193847656250000e-01
7.141815423965454102e-01,-7.005532979965209961e-01
-7.248410582542419434e-01,7.304398417472839355e-01
-7.214152216911315918e-01,7.257857918739318848e-01
7.594131827354431152e-01,7.506247162818908691e-01
-6.824769377708435059e-01,6.934865713119506836e-01
7.207272648811340332e-01,-7.191587686538696289e-01
-7.065387964248657227e-01,-7.128764986991882324e-01
7.008675932884216309e-01,-6.924942731857299805e-01
-7.445998787879943848e-01,-7.341101765632629395e-01
