I,Q
-7.234780788421630859e-01,7.212415337562561035e-01
-7.102940082550048828e-01,-7.023838758468627930e-01
-7.874066829681396484e-01,7.625114321708679199e-01
7.130723595619201660e-01,6.562621593475341797e-01
6.599584221839904785e-01,-7.406203746795654297e-01
-6.960816383361816406e-01,7.081554532051086426e-01
7.344696521759033203e-01,-7.485907673835754395e-01
-6.269931793212890625e-01,-7.110369205474853516e-01
-7.425771355628967285e-01,-6.546308994293212891e-01
-7.601486444473266602e-01,-7.178152799606323242e-01
7.199867367744445801e-01,-6.687943339347839355e-01
7.258046865463256836e-01,-6.926690340042114258e-01
-7.068480849266052246e-01,-6.746566295623779297e-01
-6.447566747665405273e-01,-6.745135784149169922e-01
-7.127669453620910645e-01,6.881604790687561035e-01
6.846867203712463379e-01,7.342784404754638672e-01
7.177496552467346191e-01,7.325752377510070801e-01
6.551926136016845703e-01,7.987397313117980957e-01
7.521408796310424805e-01,7.553396224975585938e-01
6.973521709442138672e-01,8.010663390159606934e-01
-7.823944091796875000e-01,6.029644012451171875e-01
-7.645615935325622559e-01,-6.797164082527160645e-01
6.774828433990478516e-01,-7.562808394432067871e-01
-6.548843383789062500e-01,7.433024048805236816e-01
-6.711009740829467773e-01,-7.286734580993652344e-01
-6.832969188690185547e-01,-6.831819415092468262e-01
-7.477884888648986816e-01,-6.859605908393859863e-01
7.682011723518371582e-01,6.647401452064514160e-01
-7.078616619110107422e-01,-6.709913015365600586e-01
7.113534212112426758e-01,6.950225830078125000e-01
6.491243839263916016e-01,-7.166007757186889648e-01
6.363778114318847656e-01,6.781988739967346191e-01
-7.275310158729553223e-01,-7.771787047386169434e-01
-8.768494725227355957e-01,-7.484632134437561035e-01
-7.439322471618652344e-01,5.459128618240356445e-01
7.719292044639587402e-01,-6.748442649841308594e-01
7.319447994232177734e-01,7.194624543190002441e-01
7.478917241096496582e-01,7.408834695816040039e-01
-6.538422703742980957e-01,-7.650824785232543945e-01
7.794800400733947754e-01,-6.538332104682922363e-01
-6.827166080474853516e-01,6.499457359313964844e-01
7.005146145820617676e-01,6.499818563461303711e-01
7.937284708023071289e-01,7.065894603729248047e-01
-7.023859620094299316e-01,-6.776799559593200684e-01
-6.610705852508544922e-01,6.876034140586853027e-01
-6.351479887962341309e-01,7.270167469978332520e-01
-6.674062013626098633e-01,-6.760544180870056152e-01
-6.660348176956176758e-01,6.757556796073913574e-01
7.469873428344726562e-01,-7.065669298171997070e-01
-7.480480074882507324e-01,-6.137812733650207520e-01
6.968412995338439941e-01,-6.548805832862854004e-01
7.122215032577514648e-01,-6.780892610549926758e-01
-7.744396328926086426e-01,-6.978093981742858887e-01
-6.850069165229797363e-01,6.765931844711303711e-01
-7.309066653251647949e-01,6.761749386787414551e-01
7.501689195632934570e-01,6.733933091163635254e-01
6.617633104324340820e-01,-7.736038565635681152e-01
6.745774745941162109e-01,7.581810355186462402e-01
-6.677160263061523438e-01,6.926007270812988281e-01
7.307699918746948242e-01,-7.277099490165710449e-01
-6.339199542999267578e-01,-6.766549348831176758e-01
-6.898689270019531250e-01,-7.080513238906860352e-01
-7.387258410453796387e-01,6.962595582008361816e-01
7.330567240715026855e-01,7.363474369049072266e-01
-6.101285219192504883e-01,7.946035861968994141e-01
-6.130319237709045410e-01,7.272002696990966797e-01
-6.935498118400573730e-01,-6.781368851661682129e-01
7.618434429168701172e-01,6.419166922569274902e-01
-7.400616407394409180e-01,-6.283916831016540527e-01
-6.858848929405212402e-01,-6.196339726448059082e-01
-7.772358059883117676e-01,6.783869862556457520e-01
-6.491649150848388672e-01,-5.635372400283813477e-01
-7.162998914718627930e-01,6.664015650749206543e-01
6.983585953712463379e-01,6.806044578552246094e-01
8.424891829490661621e-01,-6.621889472007751465e-01
6.722527742385864258e-01,7.748392224311828613e-01
-8.168988823890686035e-01,7.790086269378662109e-01
-8.370602726936340332e-01,-7.424008846282958984e-01
-7.678996920585632324e-01,6.182458400726318359e-01
6.902390122413635254e-01,-6.294028759002685547e-01
-6.626763343811035156e-01,-7.302341461181640625e-01
8.355207443237304688e-01,-6.766642928123474121e-01
6.702061295509338379e-01,-5.729138851165771484e-01
-7.537786960601806641e-01,-7.763430476188659668e-01
-6.842508316040039062e-01,-5.890976786613464355e-01
-6.445568799972534180e-01,-6.523389816284179688e-01
-6.100054383277893066e-01,-7.288873791694641113e-01
7.088789939880371094e-01,-7.944597601890563965e-01
-7.004842162132263184e-01,7.540845870971679688e-01
7.077245116233825684e-01,6.397897005081176758e-01
6.988099813461303711e-01,-6.350702643394470215e-01
8.324899673461914062e-01,8.102897405624389648e-01
-7.076584100723266602e-01,7.123281955718994141e-01
-5.898602008819580078e-01,-7.715861201286315918e-01
7.069043517112731934e-01,-7.618009448051452637e-01
6.802315115928649902e-01,7.694369554519653320e-01
7.288732528686523438e-01,-6.624030470848083496e-01
6.936377286911010742e-01,-7.435077428817749023e-01
7.661621570587158203e-01,-7.237372398376464844e-01
-6.744744777679443359e-01,7.682606577873229980e-01
7.943971157073974609e-01,-7.310600876808166504e-01
6.825207471847534180e-01,6.927555799484252930e-01
6.820393204689025879e-01,6.662216782569885254e-01
-6.902980208396911621e-01,-7.273550629615783691e-01
8.108999133110046387e-01,-6.421632170677185059e-01
-7.188691496849060059e-01,7.082990407943725586e-01
-6.829836368560791016e-01,6.596003174781799316e-01
7.133681178092956543e-01,-6.419652104377746582e-01
-7.642195820808410645e-01,8.207632303237915039e-01
6.438937783241271973e-01,-7.384656667709350586e-01
-7.704586386680603027e-01,-7.047880291938781738e-01
6.138755679130554199e-01,-7.849072813987731934e-01
-7.040710449218750000e-01,7.022014856338500977e-01
-7.268869280815124512e-01,6.769468784332275391e-01
-7.059656977653503418e-01,6.315066814422607422e-01
-6.694254875183105469e-01,6.767324209213256836e-01
-6.905239224433898926e-01,-7.099547982215881348e-01
-7.233060598373413086e-01,7.400261163711547852e-01
-7.993932962417602539e-01,-7.104504704475402832e-01
8.751789331436157227e-01,-7.481075525283813477e-01
7.500250339508056641e-01,6.891435980796813965e-01
-7.229425311088562012e-01,7.476750016212463379e-01
6.881513595581054688e-01,7.017964720726013184e-01
-6.848253607749938965e-01,7.236542105674743652e-01
6.349435448646545410e-01,6.796409487724304199e-01
-7.522044777870178223e-01,-7.583687305450439453e-01
-7.183417081832885742e-01,-8.499405980110168457e-01
-7.164226174354553223e-01,6.935144066810607910e-01
-7.087343335151672363e-01,6.453469991683959961e-01
-7.001193761825561523e-01,7.280793786048889160e-01
-6.225272417068481445e-01,7.318097352981567383e-01
7.015569806098937988e-01,-7.448359131813049316e-01
-6.899896264076232910e-01,-7.929559350013732910e-01
6.808804869651794434e-01,6.984883546829223633e-01
-7.371445298194885254e-01,-6.527488231658935547e-01
-7.095021009445190430e-01,6.948904991149902344e-01
-6.831376552581787109e-01,6.814417243003845215e-01
6.356319785118103027e-01,-6.630115509033203125e-01
6.722844839096069336e-01,7.289060950279235840e-01
-7.126675248146057129e-01,8.302240371704101562e-01
-8.269225955009460449e-01,-7.555029392242431641e-01
-6.091397404670715332e-01,-6.860268712043762207e-01
6.484257578849792480e-01,-7.634327411651611328e-01
-6.681092977523803711e-01,7.844135165214538574e-01
7.352569699287414551e-01,6.790313720703125000e-01
6.440058350563049316e-01,-6.442469954490661621e-01
-7.309747934341430664e-01,-7.732018232345581055e-01
-7.879368066787719727e-01,-7.752196192741394043e-01
7.715814709663391113e-01,7.327559590339660645e-01
7.446797490119934082e-01,7.693035006523132324e-01
6.956633925437927246e-01,-7.468587160110473633e-01
-7.112342119216918945e-01,7.498087882995605469e-01
-7.475681304931640625e-01,-6.503017544746398926e-01
7.565879821777343750e-01,-7.086986303329467773e-01
-7.349604368209838867e-01,5.501456260681152344e-01
7.951840758323669434e-01,6.887825727462768555e-01
6.704197525978088379e-01,-7.252332568168640137e-01
-8.454244136810302734e-01,-6.960467100143432617e-01
-6.459525823593139648e-01,-7.053273320198059082e-01
6.800018548965454102e-01,-6.452316045761108398e-01
7.426137924194335938e-01,8.240853548049926758e-01
-7.625948786735534668e-01,-7.258245944976806641e-01
6.776331663131713867e-01,7.377051711082458496e-01
7.432091236114501953e-01,-7.044669389724731445e-01
-8.279806375503540039e-01,7.615360021591186523e-01
-6.352701187133789062e-01,-6.756497025489807129e-01
6.692177653312683105e-01,8.482783436775207520e-01
-6.960706114768981934e-01,6.267490386962890625e-01
7.593513727188110352e-01,-7.109027504920959473e-01
-7.450050115585327148e-01,-7.405400276184082031e-01
6.925496459007263184e-01,6.315091848373413086e-01
-7.368239164352416992e-01,-7.302342057228088379e-01
6.781530976295471191e-01,-7.437068223953247070e-01
-6.691547632217407227e-01,-7.415989041328430176e-01
-7.677554488182067871e-01,5.625894665718078613e-01
6.747375726699829102e-01,-7.220136523246765137e-01
7.191388010978698730e-01,7.423477768898010254e-01
8.155364394187927246e-01,-7.639787197113037109e-01
7.259740829467773438e-01,-7.775796651840209961e-01
-6.921974420547485352e-01,-6.804736852645874023e-01
-6.032118797302246094e-01,6.719024181365966797e-01
7.257731556892395020e-01,-7.421200275421142578e-01
6.680248975753784180e-01,6.791053414344787598e-01
6.496572494506835938e-01,6.927891969680786133e-01
6.421186327934265137e-01,8.293637633323669434e-01
7.789279818534851074e-01,7.319460511207580566e-01
-7.531452178955078125e-01,7.363569140434265137e-01
-6.745682954788208008e-01,-7.344423532485961914e-01
-7.264095544815063477e-01,-7.492974400520324707e-01
7.626496553421020508e-01,6.346121430397033691e-01
6.637916564941406250e-01,-8.054608106613159180e-01
7.862071990966796875e-01,-7.283846735954284668e-01
-7.636464834213256836e-01,7.082554101943969727e-01
6.641770601272583008e-01,6.750850677490234375e-01
-6.723430156707763672e-01,7.469057440757751465e-01
7.050926685333251953e-01,-7.037308812141418457e-01
6.795192360877990723e-01,-6.911917328834533691e-01
