I,Q
-7.751296162605285645e-01,-8.985925316810607910e-01
7.679460644721984863e-01,9.031413793563842773e-01
-7.986097931861877441e-01,-8.906017541885375977e-01
-7.669256925582885742e-01,4.957564473152160645e-01
7.517998218536376953e-01,8.861417770385742188e-01
7.731661200523376465e-01,9.032223820686340332e-01
-7.590667009353637695e-01,5.009071230888366699e-01
-7.396921515464782715e-01,-8.957199454307556152e-01
-7.821444869041442871e-01,-8.874218463897705078e-01
-7.885982394218444824e-01,5.038219690322875977e-01
7.738473415374755859e-01,9.159778356552124023e-01
-7.622492313385009766e-01,5.189846158027648926e-01
7.692117094993591309e-01,9.128245711326599121e-01
7.920170426368713379e-01,-4.955664575099945068e-01
-7.711955904960632324e-01,5.054465532302856445e-01
-7.773513197898864746e-01,5.194607377052307129e-01
-7.652077078819274902e-01,-8.922531604766845703e-01
-7.881840467453002930e-01,-8.757287263870239258e-01
7.856571078300476074e-01,-4.918956756591796875e-01
-7.726994156837463379e-01,-8.710224032402038574e-01
7.414646148681640625e-01,8.596754670143127441e-01
-7.902190685272216797e-01,-8.979369401931762695e-01
7.582362890243530273e-01,-5.317301750183105469e-01
7.882972955703735352e-01,-4.952918589115142822e-01
-7.558922767639160156e-01,-9.057770967483520508e-01
-7.603717446327209473e-01,-8.915500640869140625e-01
7.541748881340026855e-01,9.052003026008605957e-01
-7.466776371002197266e-01,-9.104675650596618652e-01
7.688394784927368164e-01,-5.002455711364746094e-01
7.706764340400695801e-01,-5.160561203956604004e-01
-7.904127836227416992e-01,-9.104409217834472656e-01
-7.950944900512695312e-01,4.960317015647888184e-01
-7.766182422637939453e-01,-9.274037480354309082e-01
-8.314608335494995117e-01,4.826203584671020508e-01
7.555912137031555176e-01,-5.702260732650756836e-01
7.929251194000244141e-01,-4.954482316970825195e-01
7.782393693923950195e-01,-5.058885812759399414e-01
-7.541369199752807617e-01,5.275688767433166504e-01
-7.495534420013427734e-01,-9.164664745330810547e-01
7.956984043121337891e-01,9.265624284744262695e-01
7.780749201774597168e-01,-5.294041633605957031e-01
7.666955590248107910e-01,-5.322731733322143555e-01
-7.373017668724060059e-01,-8.939623236656188965e-01
7.708505988121032715e-01,9.122186899185180664e-01
-7.522082328796386719e-01,-9.041476249694824219e-01
7.955462336540222168e-01,-4.989557266235351562e-01
7.836982011795043945e-01,9.160205125808715820e-01
-7.540315389633178711e-01,5.056036114692687988e-01
7.837642431259155273e-01,9.057339429855346680e-01
7.540795803070068359e-01,-4.846643209457397461e-01
-7.728871107101440430e-01,-8.851622343063354492e-01
7.709952592849731445e-01,9.121170639991760254e-01
7.443863153457641602e-01,8.987208604812622070e-01
-7.609997391700744629e-01,-9.100914001464843750e-01
-7.778580784797668457e-01,4.997124075889587402e-01
7.849328517913818359e-01,-5.197501182556152344e-01
-7.857707738876342773e-01,4.856995344161987305e-01
7.571691274642944336e-01,9.160643219947814941e-01
-7.546490430831909180e-01,5.111353993415832520e-01
-7.604255676269531250e-01,5.076140165328979492e-01
-7.422361969947814941e-01,5.294593572616577148e-01
7.754479050636291504e-01,9.031270742416381836e-01
-7.807300090789794922e-01,5.057673454284667969e-01
-7.595856785774230957e-01,5.246576070785522461e-01
8.047354817390441895e-01,9.404067993164062500e-01
8.036690950393676758e-01,9.173765182495117188e-01
7.740960121154785156e-01,-5.013274550437927246e-01
-7.490126490592956543e-01,4.954478740692138672e-01
-7.812206149101257324e-01,5.358859300613403320e-01
7.769111990928649902e-01,9.333537817001342773e-01
7.433592677116394043e-01,8.856233954429626465e-01
7.903978824615478516e-01,9.557108879089355469e-01
-7.724931836128234863e-01,4.977706074714660645e-01
-7.723298668861389160e-01,5.026079416275024414e-01
8.188407421112060547e-01,-4.846131801605224609e-01
-7.819181680679321289e-01,5.320007801055908203e-01
7.287915945053100586e-01,9.159122109413146973e-01
-8.168467879295349121e-01,4.883676767349243164e-01
7.467883825302124023e-01,-5.480299592018127441e-01
-7.753119468688964844e-01,5.370405316352844238e-01
7.854353785514831543e-01,8.981652259826660156e-01
8.162813782691955566e-01,-4.901491403579711914e-01
7.555636763572692871e-01,9.437248110771179199e-01
-7.862586975097656250e-01,-9.295625090599060059e-01
7.775114178657531738e-01,9.438170194625854492e-01
-7.461430430412292480e-01,-8.775324821472167969e-01
-7.334527373313903809e-01,-9.001677632331848145e-01
-7.684657573699951172e-01,-9.311749339103698730e-01
7.715490460395812988e-01,-4.958915114402770996e-01
-7.688897848129272461e-01,-9.245166778564453125e-01
-7.721640467643737793e-01,5.359238386154174805e-01
-7.230651974678039551e-01,-8.553407788276672363e-01
7.689141035079956055e-01,9.035547971725463867e-01
8.121797442436218262e-01,-5.232402086257934570e-01
7.690423727035522461e-01,8.833553791046142578e-01
-7.789875864982604980e-01,5.309185385704040527e-01
7.771112322807312012e-01,9.189624190330505371e-01
-7.740637063980102539e-01,-9.153871536254882812e-01
7.908069491386413574e-01,9.017191529273986816e-01
7.811021208763122559e-01,-4.886859059333801270e-01
8.011772036552429199e-01,-5.123414397239685059e-01
7.600866556167602539e-01,8.947105407714843750e-01
7.599097490310668945e-01,-5.285075306892395020e-01
-7.629430890083312988e-01,5.070964097976684570e-01
8.072384595870971680e-01,9.334249496459960938e-01
7.647966146469116211e-01,-5.130618214607238770e-01
7.779768109321594238e-01,8.880445957183837891e-01
-7.668169736862182617e-01,-8.792641162872314453e-01
-7.900934219360351562e-01,5.454381704330444336e-01
7.458994388580322266e-01,-5.288380980491638184e-01
7.458484768867492676e-01,-5.174790024757385254e-01
-8.033592700958251953e-01,4.774293899536132812e-01
-7.680017352104187012e-01,5.109965205192565918e-01
-7.763817310333251953e-01,-9.138665795326232910e-01
-7.686976790428161621e-01,-9.272649884223937988e-01
-7.552769184112548828e-01,5.056180953979492188e-01
-7.630259990692138672e-01,5.129509568214416504e-01
7.631669044494628906e-01,-5.027610659599304199e-01
7.352211475372314453e-01,-5.220818519592285156e-01
-7.073861956596374512e-01,-9.000579714775085449e-01
-7.533534765243530273e-01,5.102960467338562012e-01
7.633004784584045410e-01,-5.001443624496459961e-01
7.621546387672424316e-01,-5.159264802932739258e-01
-7.609330415725708008e-01,5.200302600860595703e-01
-7.956212759017944336e-01,4.963852763175964355e-01
-7.856805324554443359e-01,-9.233466982841491699e-01
7.649902701377868652e-01,-5.616465210914611816e-01
7.656951546669006348e-01,8.963868618011474609e-01
7.685189247131347656e-01,-5.333765745162963867e-01
7.716830968856811523e-01,-5.046389102935791016e-01
-7.380518317222595215e-01,-8.856359720230102539e-01
-7.711551189422607422e-01,-9.150992035865783691e-01
-7.628298401832580566e-01,-9.292401671409606934e-01
-7.787492871284484863e-01,-9.071921110153198242e-01
-7.801491618156433105e-01,-8.862810730934143066e-01
-7.699964642524719238e-01,5.080226659774780273e-01
7.779202461242675781e-01,-5.188079476356506348e-01
-7.953684329986572266e-01,5.206135511398315430e-01
7.563269734382629395e-01,9.059657454490661621e-01
-7.711591124534606934e-01,-8.607866168022155762e-01
-8.131234049797058105e-01,4.848862290382385254e-01
8.050985932350158691e-01,-4.961420297622680664e-01
-7.906693816184997559e-01,-9.263197779655456543e-01
7.834399342536926270e-01,9.315739870071411133e-01
7.794559001922607422e-01,8.949804902076721191e-01
7.459406256675720215e-01,-4.970125257968902588e-01
-7.778831720352172852e-01,-9.263811111450195312e-01
7.394289970397949219e-01,8.713262677192687988e-01
7.927973866462707520e-01,-4.977137148380279541e-01
7.829167246818542480e-01,9.263392090797424316e-01
-7.733197212219238281e-01,-9.163303375244140625e-01
-7.706326842308044434e-01,-8.878074884414672852e-01
-7.839776277542114258e-01,5.277894139289855957e-01
-7.509429454803466797e-01,5.164345502853393555e-01
7.588864564895629883e-01,8.462510704994201660e-01
8.014662861824035645e-01,-5.103674530982971191e-01
7.556421160697937012e-01,8.923103809356689453e-01
7.183145880699157715e-01,-5.214986801147460938e-01
7.915778160095214844e-01,-5.060826539993286133e-01
7.591614723205566406e-01,-4.939975440502166748e-01
7.821579575538635254e-01,9.446455240249633789e-01
-7.894966602325439453e-01,-9.133235812187194824e-01
-7.799420356750488281e-01,-8.942515850067138672e-01
7.823766469955444336e-01,9.060916900634765625e-01
