I,Q
7.025023102760314941e-01,-7.031313180923461914e-01
7.062103748321533203e-01,-7.057784199714660645e-01
6.845222711563110352e-01,-6.915240883827209473e-01
-7.054289579391479492e-01,6.928066015243530273e-01
-7.203673124313354492e-01,-7.165325284004211426e-01
-7.040059566497802734e-01,7.074016928672790527e-01
-6.994109153747558594e-01,-7.187741994857788086e-01
7.296388745307922363e-01,-7.082121372222900391e-01
6.971306800842285156e-01,-6.923478245735168457e-01
-7.220249176025390625e-01,-7.101185321807861328e-01
-7.034842371940612793e-01,7.178822159767150879e-01
7.123656272888183594e-01,7.111673951148986816e-01
-7.070339918136596680e-01,7.162334322929382324e-01
7.246428728103637695e-01,7.162736654281616211e-01
-7.086986899375915527e-01,7.017781138420104980e-01
7.008010745048522949e-01,7.147488594055175781e-01
-7.041134238243103027e-01,7.142698168754577637e-01
-7.217077016830444336e-01,7.328786849975585938e-01
7.197726964950561523e-01,-6.935411691665649414e-01
-7.098502516746520996e-01,7.335330843925476074e-01
-7.282815575599670410e-01,6.778165102005004883e-01
6.909474730491638184e-01,-6.994031667709350586e-01
6.987749934196472168e-01,-7.209370732307434082e-01
-6.924191117286682129e-01,-6.969266533851623535e-01
-6.969800591468811035e-01,7.010411024093627930e-01
-7.004101872444152832e-01,7.138356566429138184e-01
6.956649422645568848e-01,-7.011593580245971680e-01
7.242896556854248047e-01,6.951910853385925293e-01
-7.073190808296203613e-01,-6.969492435455322266e-01
-7.059124112129211426e-01,-7.105054855346679688e-01
6.907991170883178711e-01,-7.097769975662231445e-01
-7.269994020462036133e-01,-7.152372002601623535e-01
-7.128511071205139160e-01,6.873989105224609375e-01
-7.548472285270690918e-01,6.954751610755920410e-01
6.967495083808898926e-01,-7.524428963661193848e-01
7.253382205963134766e-01,-6.980328559875488281e-01
-7.001210451126098633e-01,7.105818390846252441e-01
7.185776233673095703e-01,-6.976069808006286621e-01
7.220875024795532227e-01,-7.234125733375549316e-01
-6.867516636848449707e-01,-6.921234726905822754e-01
7.139665484428405762e-01,-7.231833934783935547e-01
7.052527070045471191e-01,-7.231732606887817383e-01
7.314692735671997070e-01,-7.072522640228271484e-01
-7.057790160179138184e-01,-6.988304257392883301e-01
-6.941590309143066406e-01,-7.125921249389648438e-01
-6.868682503700256348e-01,7.127065062522888184e-01
-6.959409117698669434e-01,-6.983732581138610840e-01
7.186583280563354492e-01,-7.159243226051330566e-01
7.183232903480529785e-01,-7.069549560546875000e-01
-7.186215519905090332e-01,-6.808587908744812012e-01
-7.099939584732055664e-01,-6.924180388450622559e-01
-7.056682109832763672e-01,7.152680158615112305e-01
6.881693005561828613e-01,-7.044918537139892578e-01
-7.008911371231079102e-01,-7.156887650489807129e-01
7.004129886627197266e-01,-7.158064246177673340e-01
-6.949954628944396973e-01,-7.165887355804443359e-01
6.943538188934326172e-01,-7.258092164993286133e-01
-7.162556648254394531e-01,-6.927420496940612793e-01
-6.960280537605285645e-01,-7.111866474151611328e-01
-7.004514336585998535e-01,-7.129014730453491211e-01
7.276906967163085938e-01,7.156714200973510742e-01
