I,Q
-7.309587597846984863e-01,6.894661188125610352e-01
-7.118634581565856934e-01,7.040964961051940918e-01
-7.421743869781494141e-01,7.018118500709533691e-01
-6.824192404747009277e-01,-7.406876087188720703e-01
6.552841663360595703e-01,7.384291887283325195e-01
7.598181366920471191e-01,-6.525607109069824219e-01
7.423366308212280273e-01,-6.861615180969238281e-01
7.234119176864624023e-01,-7.096176743507385254e-01
7.012609243392944336e-01,7.168038487434387207e-01
7.078530192375183105e-01,6.920570135116577148e-01
-6.895378232002258301e-01,7.298333048820495605e-01
7.164950370788574219e-01,-6.985765099525451660e-01
6.928961873054504395e-01,-7.139844894409179688e-01
-6.892166733741760254e-01,7.182084321975708008e-01
7.193554639816284180e-01,-6.976719498634338379e-01
-7.421895861625671387e-01,6.818279027938842773e-01
7.350053787231445312e-01,-6.746256947517395020e-01
6.922826766967773438e-01,-6.898787617683410645e-01
7.295705676078796387e-01,-6.833252310752868652e-01
7.232233881950378418e-01,7.099334001541137695e-01
6.746526956558227539e-01,-7.448405027389526367e-01
-7.106853127479553223e-01,7.224559783935546875e-01
6.881572008132934570e-01,-7.299196124076843262e-01
-6.868978738784790039e-01,7.234002351760864258e-01
7.135856747627258301e-01,-7.134972214698791504e-01
7.437664866447448730e-01,6.796720623970031738e-01
7.411339282989501953e-01,6.668220162391662598e-01
-6.932600736618041992e-01,6.978316307067871094e-01
-6.851519346237182617e-01,7.363995313644409180e-01
6.834428310394287109e-01,-7.335360646247863770e-01
-7.491329312324523926e-01,-6.784519553184509277e-01
-7.427856922149658203e-01,-6.928561329841613770e-01
-7.082081437110900879e-01,6.949940919876098633e-01
-7.253000140190124512e-01,-7.363278865814208984e-01
6.951790452003479004e-01,6.749149560928344727e-01
7.397127747535705566e-01,6.955350041389465332e-01
-6.963450908660888672e-01,7.149804234504699707e-01
-7.009882926940917969e-01,-6.965568065643310547e-01
7.348216176033020020e-01,6.773904561996459961e-01
-7.207602858543395996e-01,6.891093254089355469e-01
6.666107177734375000e-01,7.385569214820861816e-01
-6.623221039772033691e-01,-7.626475691795349121e-01
7.502948045730590820e-01,-6.818881034851074219e-01
7.022323012351989746e-01,-7.064743638038635254e-01
-6.942461133003234863e-01,7.052902579307556152e-01
7.164776325225830078e-01,7.183119058609008789e-01
-6.947945356369018555e-01,7.173939943313598633e-01
-7.156550288200378418e-01,6.819699406623840332e-01
-6.902225017547607422e-01,-7.147712707519531250e-01
6.980312466621398926e-01,7.278916835784912109e-01
7.232361435890197754e-01,7.002370357513427734e-01
7.098501920700073242e-01,-6.990005970001220703e-01
-7.534902095794677734e-01,6.757965683937072754e-01
-6.922402977943420410e-01,-7.235560417175292969e-01
6.911789774894714355e-01,7.106691002845764160e-01
-6.884537935256958008e-01,7.084609270095825195e-01
6.815023422241210938e-01,7.074831724166870117e-01
6.902157068252563477e-01,7.277680635452270508e-01
-6.959393024444580078e-01,-7.126654386520385742e-01
-7.161765694618225098e-01,6.878592967987060547e-01
-6.871487498283386230e-01,7.173802852630615234e-01
-7.149657607078552246e-01,-6.954780220985412598e-01
-7.013980150222778320e-01,-7.221617102622985840e-01
6.918730139732360840e-01,7.340504527091979980e-01
7.297967076301574707e-01,-6.864730715751647949e-01
6.988753676414489746e-01,-7.317213416099548340e-01
7.515279054641723633e-01,6.698483228683471680e-01
6.937820911407470703e-01,-7.462770342826843262e-01
-6.930572390556335449e-01,-7.110368013381958008e-01
-7.412719726562500000e-01,6.869192719459533691e-01
-7.027077078819274902e-01,-7.332996726036071777e-01
-7.320988178253173828e-01,7.016336321830749512e-01
7.256903648376464844e-01,-6.952836513519287109e-01
7.281525135040283203e-01,-6.895243525505065918e-01
7.757166624069213867e-01,-6.541174650192260742e-01
-6.787281632423400879e-01,-7.274799346923828125e-01
-7.503560185432434082e-01,7.037383913993835449e-01
6.988856196403503418e-01,-6.946572661399841309e-01
7.091628313064575195e-01,-7.117143869400024414e-01
6.990121603012084961e-01,-6.941250562667846680e-01
-6.960444450378417969e-01,7.030624151229858398e-01
7.114598155021667480e-01,-7.250222563743591309e-01
6.989722251892089844e-01,-6.770033836364746094e-01
7.040680050849914551e-01,6.841091513633728027e-01
7.303323149681091309e-01,-6.612597107887268066e-01
-6.942957639694213867e-01,7.182193994522094727e-01
7.345387935638427734e-01,-7.060582637786865234e-01
7.316180467605590820e-01,6.618683338165283203e-01
-6.949797868728637695e-01,7.279211878776550293e-01
-6.929740905761718750e-01,-7.355899214744567871e-01
-6.954830288887023926e-01,-7.045722007751464844e-01
7.417495846748352051e-01,-6.768606901168823242e-01
-6.903607845306396484e-01,-7.224454283714294434e-01
-6.660148501396179199e-01,7.070266008377075195e-01
-7.451689839363098145e-01,-6.798689365386962891e-01
6.828894019126892090e-01,-7.111259102821350098e-01
-7.203453183174133301e-01,-6.783944964408874512e-01
-6.857030391693115234e-01,7.229378819465637207e-01
-6.706113815307617188e-01,7.256368994712829590e-01
7.073591351509094238e-01,-7.006205320358276367e-01
7.214958071708679199e-01,-7.176418900489807129e-01
-7.117910385131835938e-01,-7.111254334449768066e-01
-7.044422626495361328e-01,7.063121795654296875e-01
-6.853365898132324219e-01,-7.289960384368896484e-01
7.298800349235534668e-01,7.220460176467895508e-01
7.194970846176147461e-01,6.920912861824035645e-01
-7.197148799896240234e-01,-6.996729373931884766e-01
