I,Q
-4.167250096797943115e-01,9.084772467613220215e-01
-7.090590596199035645e-01,-7.069967985153198242e-01
9.269112348556518555e-01,-3.461418449878692627e-01
-8.980569243431091309e-01,-4.175308942794799805e-01
5.334228873252868652e-01,-1.070021837949752808e-01
-2.919411957263946533e-01,-9.576351642608642578e-01
-5.824460834264755249e-02,9.958711862564086914e-01
5.153250098228454590e-01,-1.540133208036422729e-01
-1.256810873746871948e-01,5.213364362716674805e-01
-4.047046005725860596e-01,-9.212778210639953613e-01
1.265696734189987183e-01,-1.270820200443267822e-01
-1.495177298784255981e-01,5.120664834976196289e-01
-1.304335147142410278e-01,5.246431827545166016e-01
-3.805982470512390137e-01,3.947720825672149658e-01
-4.111903309822082520e-01,9.130746126174926758e-01
-1.368716061115264893e-01,1.226620972156524658e-01
4.606799781322479248e-02,-9.982345104217529297e-01
6.956329345703125000e-01,-7.073892354965209961e-01
-4.984522759914398193e-01,1.322567462921142578e-01
9.111542105674743652e-01,-4.167894721031188965e-01
5.119996666908264160e-01,-1.568466275930404663e-01
1.372462511062622070e-01,-1.406524777412414551e-01
9.179494380950927734e-01,-4.033932387828826904e-01
-1.383371502161026001e-01,5.334559082984924316e-01
-1.414217799901962280e-01,5.148363113403320312e-01
-1.260296702384948730e-01,1.469301879405975342e-01
1.867685467004776001e-01,5.136907100677490234e-01
3.845191597938537598e-01,-9.198964238166809082e-01
-3.691510260105133057e-01,3.938633203506469727e-01
9.402305483818054199e-01,3.412299454212188721e-01
-1.443852633237838745e-01,-1.452626585960388184e-01
1.274272501468658447e-01,-5.158762335777282715e-01
3.738546669483184814e-01,3.721600770950317383e-01
-4.106994569301605225e-01,9.091677665710449219e-01
3.817904889583587646e-01,-9.346896409988403320e-01
-1.008713006973266602e+00,3.190805390477180481e-02
-7.190964818000793457e-01,-6.966661214828491211e-01
3.782468736171722412e-01,-3.741508722305297852e-01
-3.701174259185791016e-01,4.003369808197021484e-01
4.258002340793609619e-01,-9.061175584793090820e-01
-8.865209221839904785e-01,-4.500636160373687744e-01
-3.490905165672302246e-01,-4.000355005264282227e-01
-4.278013855218887329e-02,1.004280447959899902e+00
7.048045992851257324e-01,-7.143450975418090820e-01
9.143217802047729492e-01,-3.852389156818389893e-01
5.221272706985473633e-01,1.502579152584075928e-01
-1.368534415960311890e-01,-5.313818454742431641e-01
1.593471467494964600e-01,-5.073501467704772949e-01
5.250079631805419922e-01,-1.439292579889297485e-01
1.342151910066604614e-01,-5.234738588333129883e-01
1.238338649272918701e-01,-5.200881361961364746e-01
3.798164427280426025e-01,-9.292119145393371582e-01
3.186102211475372314e-01,9.415205717086791992e-01
-1.337347626686096191e-01,-1.343032568693161011e-01
7.243648171424865723e-01,-6.969554424285888672e-01
9.143614768981933594e-01,-4.009232223033905029e-01
-3.641227781772613525e-01,-9.370808005332946777e-01
3.755952715873718262e-01,3.948927223682403564e-01
2.459333976730704308e-03,9.995532631874084473e-01
-1.526757925748825073e-01,5.247285962104797363e-01
1.465354561805725098e-01,5.271560549736022949e-01
3.645178377628326416e-01,-9.382415413856506348e-01
-1.525066494941711426e-01,1.240686252713203430e-01
-9.074826836585998535e-01,-4.189685881137847900e-01
9.992530941963195801e-01,1.867629005573689938e-03
6.765944957733154297e-01,-7.379481792449951172e-01
1.826958358287811279e-01,5.051620602607727051e-01
-4.307518005371093750e-01,-9.077300429344177246e-01
-5.215448141098022461e-01,-1.608760207891464233e-01
-1.838574111461639404e-01,5.180159807205200195e-01
6.840909719467163086e-01,7.330177426338195801e-01
-7.491084933280944824e-01,6.548806428909301758e-01
3.300107643008232117e-02,-9.848681092262268066e-01
7.366675138473510742e-01,-6.924514770507812500e-01
1.705483198165893555e-01,-5.088295936584472656e-01
