I,Q
2.835105657577514648e-01,-2.836201786994934082e-01
-2.822476625442504883e-01,1.053028225898742676e+00
-8.118834495544433594e-01,-8.052523136138916016e-01
2.793235480785369873e-01,2.765912115573883057e-01
-1.087199687957763672e+00,2.890976369380950928e-01
1.089093327522277832e+00,2.917298376560211182e-01
7.889989614486694336e-01,7.857191562652587891e-01
9.837082624435424805e-01,-2.628228068351745605e-01
-1.095411539077758789e+00,2.955954074859619141e-01
7.630085349082946777e-01,-7.659597992897033691e-01
-8.185316324234008789e-01,-8.172715902328491211e-01
-2.884077727794647217e-01,-2.886202633380889893e-01
7.619028687477111816e-01,7.633861899375915527e-01
7.838147282600402832e-01,7.824094295501708984e-01
-2.887705266475677490e-01,-1.077602386474609375e+00
-2.724238336086273193e-01,2.726460993289947510e-01
2.730723321437835693e-01,-2.713757157325744629e-01
8.301500082015991211e-01,8.373796939849853516e-01
7.787888646125793457e-01,7.789390683174133301e-01
-7.730415463447570801e-01,7.769759893417358398e-01
1.148995041847229004e+00,3.035864830017089844e-01
-2.843152582645416260e-01,1.052375197410583496e+00
3.003694713115692139e-01,-1.128960728645324707e+00
-2.922503948211669922e-01,1.101949572563171387e+00
2.898271381855010986e-01,-1.076279282569885254e+00
1.125405430793762207e+00,-3.000431060791015625e-01
3.102764189243316650e-01,-1.164712309837341309e+00
1.011635303497314453e+00,2.684431970119476318e-01
2.881854474544525146e-01,-1.073937058448791504e+00
-3.008306622505187988e-01,-1.124104738235473633e+00
8.127804398536682129e-01,-8.161089420318603516e-01
-7.722412347793579102e-01,-7.702963948249816895e-01
-3.028553128242492676e-01,1.122975349426269531e+00
1.045806407928466797e+00,2.804154753684997559e-01
2.825453877449035645e-01,2.764498591423034668e-01
-1.102902770042419434e+00,2.979523837566375732e-01
-2.985720932483673096e-01,-1.118266105651855469e+00
-7.859468460083007812e-01,-7.862808108329772949e-01
-2.844720482826232910e-01,1.068341374397277832e+00
8.214980363845825195e-01,-8.152826428413391113e-01
2.769378423690795898e-01,2.730613350868225098e-01
8.033569455146789551e-01,-8.064539432525634766e-01
-2.787948548793792725e-01,-2.830457389354705811e-01
-1.073362946510314941e+00,-2.862681746482849121e-01
1.097474217414855957e+00,2.925234735012054443e-01
-8.096005916595458984e-01,8.141184449195861816e-01
-2.742330133914947510e-01,-2.746446132659912109e-01
8.360462188720703125e-01,8.323934078216552734e-01
2.940627932548522949e-01,2.920823991298675537e-01
-2.732906043529510498e-01,-2.670101821422576904e-01
-2.795083522796630859e-01,-2.765029966831207275e-01
2.802222371101379395e-01,2.813757359981536865e-01
-8.058905601501464844e-01,-8.021708130836486816e-01
8.192751407623291016e-01,-8.196914196014404297e-01
-1.075181007385253906e+00,-2.892614901065826416e-01
