I,Q
2.765896320343017578e-01,1.107239842414855957e+00
2.897316217422485352e-01,1.097857952117919922e+00
2.128649652004241943e-01,-1.037922263145446777e+00
2.988552749156951904e-01,-1.143832564353942871e+00
-3.399066329002380371e-01,-1.126556873321533203e+00
-1.082160234451293945e+00,2.939540445804595947e-01
3.201843202114105225e-01,-1.134501814842224121e+00
8.800994157791137695e-01,-8.041590452194213867e-01
2.454292476177215576e-01,3.330948948860168457e-01
2.279137969017028809e-01,2.701120972633361816e-01
-2.679475545883178711e-01,3.189766407012939453e-01
1.111788392066955566e+00,-2.785170376300811768e-01
1.093407988548278809e+00,-2.605620622634887695e-01
-2.307575047016143799e-01,-1.060660958290100098e+00
-1.098792314529418945e+00,-3.117945492267608643e-01
-3.152572214603424072e-01,-1.066065192222595215e+00
3.035176694393157959e-01,-1.067762851715087891e+00
2.411601394414901733e-01,-1.001809477806091309e+00
1.138040661811828613e+00,3.409876823425292969e-01
2.831852138042449951e-01,-9.994903206825256348e-01
2.057389616966247559e-01,-3.845966160297393799e-01
2.235149443149566650e-01,3.080894351005554199e-01
-1.122679591178894043e+00,2.438914775848388672e-01
-2.408528476953506470e-01,1.129230260848999023e+00
1.129041075706481934e+00,-3.144066035747528076e-01
8.239752650260925293e-01,8.240898847579956055e-01
2.523567676544189453e-01,1.114228844642639160e+00
8.611409068107604980e-01,-8.424728512763977051e-01
-8.009939193725585938e-01,8.362416625022888184e-01
-1.088917016983032227e+00,2.808630764484405518e-01
-8.580387830734252930e-01,7.907776832580566406e-01
-3.634120225906372070e-01,1.064334511756896973e+00
2.725496292114257812e-01,-1.162998557090759277e+00
1.237075030803680420e-01,1.051925659179687500e+00
2.440784275531768799e-01,1.201067566871643066e-01
-2.161708027124404907e-01,-2.486268877983093262e-01
3.055452406406402588e-01,-2.684701681137084961e-01
1.133805036544799805e+00,-2.592397332191467285e-01
-2.398141324520111084e-01,1.035359382629394531e+00
-2.086440771818161011e-01,3.338900804519653320e-01
8.245537877082824707e-01,7.432627677917480469e-01
-8.068125247955322266e-01,7.432987689971923828e-01
-1.006804823875427246e+00,2.923929989337921143e-01
2.976144552230834961e-01,-1.063817143440246582e+00
1.139039397239685059e+00,2.734675705432891846e-01
1.164879322052001953e+00,-2.730622589588165283e-01
-2.533347606658935547e-01,-1.062196850776672363e+00
-1.052209258079528809e+00,-3.241598010063171387e-01
-1.053396821022033691e+00,-2.923705875873565674e-01
-3.337193131446838379e-01,-1.000122308731079102e+00
-3.031413853168487549e-01,-1.041090488433837891e+00
-1.088051676750183105e+00,3.218336403369903564e-01
-3.600267469882965088e-01,-1.083882451057434082e+00
8.222707509994506836e-01,-8.306576013565063477e-01
2.570624947547912598e-01,-3.116195797920227051e-01
-7.573166489601135254e-01,7.666355371475219727e-01
2.355876415967941284e-01,-3.470713794231414795e-01
1.060724616050720215e+00,3.438200652599334717e-01
-2.415213584899902344e-01,-2.952462434768676758e-01
8.238291740417480469e-01,7.797039747238159180e-01
-1.020196795463562012e+00,3.232633769512176514e-01
-1.075967311859130859e+00,2.919671237468719482e-01
2.492682486772537231e-01,2.699738442897796631e-01
-1.067283034324645996e+00,-2.637613415718078613e-01
-7.035725712776184082e-01,-7.130237817764282227e-01
