I,Q
-8.069052100181579590e-01,-7.944879531860351562e-01
1.091852784156799316e+00,2.948311269283294678e-01
-8.329268693923950195e-01,-7.776893377304077148e-01
2.953369617462158203e-01,-1.113846063613891602e+00
-8.194327950477600098e-01,-8.138828873634338379e-01
-2.762987613677978516e-01,2.812133133411407471e-01
-1.082012295722961426e+00,-3.097944557666778564e-01
8.328510522842407227e-01,7.986416816711425781e-01
-2.952243983745574951e-01,3.021463751792907715e-01
2.591961622238159180e-01,2.764276266098022461e-01
2.860291600227355957e-01,2.963812351226806641e-01
2.883973121643066406e-01,2.866632342338562012e-01
2.808917462825775146e-01,-2.675778567790985107e-01
-1.067770957946777344e+00,3.061755299568176270e-01
-2.952126264572143555e-01,1.085438132286071777e+00
-1.102276086807250977e+00,-2.818486690521240234e-01
2.972408235073089600e-01,1.103516936302185059e+00
2.717774212360382080e-01,-1.055851578712463379e+00
-7.819105982780456543e-01,-7.806085944175720215e-01
-2.847569882869720459e-01,3.190319836139678955e-01
2.501411736011505127e-01,2.383960783481597900e-01
7.768548727035522461e-01,-7.890923619270324707e-01
-8.122996091842651367e-01,7.802254557609558105e-01
3.020431995391845703e-01,2.955196201801300049e-01
3.075645864009857178e-01,1.084371566772460938e+00
-2.832170724868774414e-01,-1.083411693572998047e+00
7.836822271347045898e-01,-7.916340231895446777e-01
3.177767097949981689e-01,-1.110395193099975586e+00
1.092842817306518555e+00,3.076092302799224854e-01
2.825150191783905029e-01,-2.857052385807037354e-01
-8.238427042961120605e-01,-8.041058778762817383e-01
-1.121939778327941895e+00,2.811419665813446045e-01
-3.012222349643707275e-01,-1.121672391891479492e+00
2.116939425468444824e-01,-2.976202964782714844e-01
-8.152309656143188477e-01,-8.658542037010192871e-01
-2.665232121944427490e-01,1.106282353401184082e+00
-2.827985584735870361e-01,1.098179459571838379e+00
1.109751343727111816e+00,3.066572546958923340e-01
-1.071469187736511230e+00,2.693101167678833008e-01
8.297004103660583496e-01,8.219259977340698242e-01
-1.083222270011901855e+00,-3.161756694316864014e-01
-1.095833420753479004e+00,-3.161609768867492676e-01
1.128408908843994141e+00,2.926981151103973389e-01
-2.909871339797973633e-01,-1.081172108650207520e+00
-7.815027236938476562e-01,7.923027276992797852e-01
3.221989870071411133e-01,-1.085045933723449707e+00
3.090685307979583740e-01,-1.080510497093200684e+00
-1.076432108879089355e+00,2.801474630832672119e-01
-2.766756117343902588e-01,1.093369841575622559e+00
-1.109815001487731934e+00,-2.549212574958801270e-01
2.766079902648925781e-01,3.020447492599487305e-01
-2.908267676830291748e-01,-1.081338763236999512e+00
7.728340625762939453e-01,8.040258288383483887e-01
-7.912458181381225586e-01,7.878211140632629395e-01
1.083462595939636230e+00,2.803181409835815430e-01
-2.632583379745483398e-01,2.670636475086212158e-01
-1.111606836318969727e+00,2.658415734767913818e-01
-8.134822249412536621e-01,-7.794520258903503418e-01
-7.842077016830444336e-01,-8.061459660530090332e-01
-7.906094789505004883e-01,-8.086277842521667480e-01
8.300315737724304199e-01,8.126366138458251953e-01
2.999252378940582275e-01,1.092765688896179199e+00
7.873710989952087402e-01,-8.046566843986511230e-01
-2.702237367630004883e-01,-2.688842713832855225e-01
-2.534344494342803955e-01,-1.057535171508789062e+00
-7.619489431381225586e-01,8.084203004837036133e-01
-1.087631940841674805e+00,3.047006726264953613e-01
