I,Q
-5.453223828226327896e-03,-1.274261116981506348e+00
-5.189643502235412598e-01,1.000908613204956055e+00
-5.446502566337585449e-01,1.007917165756225586e+00
-1.867739409208297729e-01,-7.454562783241271973e-01
1.730561107397079468e-01,-6.150702238082885742e-01
-9.532869458198547363e-01,5.721715688705444336e-01
1.978755593299865723e-01,7.202958464622497559e-01
5.445882081985473633e-01,1.367474317550659180e+00
-1.181504875421524048e-02,-1.264420986175537109e+00
9.392913579940795898e-01,1.225614786148071289e+00
5.199951529502868652e-01,6.791322827339172363e-01
1.878144443035125732e-01,-1.015672236680984497e-01
9.570455551147460938e-01,1.245342373847961426e+00
-6.836973428726196289e-01,-4.052357673645019531e-01
1.868756711483001709e-01,7.235592007637023926e-01
-1.890542656183242798e-01,-2.284212410449981689e-01
3.545115236192941666e-03,-1.267575025558471680e+00
-1.729242317378520966e-02,1.299601912498474121e+00
-6.894652247428894043e-01,-4.615128040313720703e-02
5.124556422233581543e-01,-2.790787220001220703e-01
1.225249648094177246e+00,-9.591227769851684570e-02
-5.348428487777709961e-01,-6.636400222778320312e-01
1.343477368354797363e+00,4.510267078876495361e-01
5.352977514266967773e-01,1.376858472824096680e+00
5.298960208892822266e-01,1.356830477714538574e+00
1.895171850919723511e-01,2.446394860744476318e-01
1.680352985858917236e-01,2.363073825836181641e-01
2.091113924980163574e-01,7.239198088645935059e-01
1.813347488641738892e-01,2.456294149160385132e-01
-5.164881348609924316e-01,-1.362750053405761719e+00
6.851521730422973633e-01,5.682775378227233887e-02
-5.414622426033020020e-01,-1.376708626747131348e+00
-9.637626409530639648e-01,5.461838841438293457e-01
-1.306868314743041992e+00,-9.553793072700500488e-01
5.034384131431579590e-01,6.106868386268615723e-01
-1.671689450740814209e-01,-7.125319242477416992e-01
5.261761546134948730e-01,-9.930374026298522949e-01
2.023463845252990723e-01,7.454995512962341309e-01
1.774220913648605347e-02,-1.288868665695190430e+00
1.274434924125671387e+00,9.478629231452941895e-01
1.968853473663330078e-01,7.150254249572753906e-01
-9.591551423072814941e-01,-1.253829240798950195e+00
1.279181122779846191e+00,-4.462122917175292969e-02
1.903335601091384888e-01,7.399615049362182617e-01
-5.003703832626342773e-01,-6.664072871208190918e-01
5.396741032600402832e-01,-2.928987145423889160e-01
1.948103457689285278e-01,-9.391681104898452759e-02
5.315835475921630859e-01,-1.004895210266113281e+00
-1.683021485805511475e-01,-2.295849919319152832e-01
6.908285617828369141e-01,4.472829103469848633e-01
-7.078853249549865723e-01,-4.074643850326538086e-01
-9.552556872367858887e-01,-1.225404143333435059e+00
-7.268942594528198242e-01,-4.275554418563842773e-01
1.889476031064987183e-01,-1.153001189231872559e-01
-1.966887116432189941e-01,5.866119861602783203e-01
-1.235983967781066895e+00,-9.283650517463684082e-01
-1.265431404113769531e+00,2.833551168441772461e-02
-5.287380218505859375e-01,1.012081384658813477e+00
-5.047817230224609375e-01,9.997901916503906250e-01
1.894683539867401123e-01,2.306292057037353516e-01
1.274706006050109863e+00,-3.644269704818725586e-02
7.102078795433044434e-01,6.821428239345550537e-02
-7.149981260299682617e-01,-7.358323037624359131e-02
-6.958221793174743652e-01,-4.104992747306823730e-01
2.138893306255340576e-01,2.730799913406372070e-01
1.281663775444030762e+00,-3.728204965591430664e-02
1.861019879579544067e-01,2.450391352176666260e-01
1.998188197612762451e-01,-1.224228218197822571e-01
1.777839213609695435e-01,7.510933279991149902e-01
9.640282988548278809e-01,1.265058279037475586e+00
-1.273687481880187988e+00,-9.398871064186096191e-01
-4.986024796962738037e-01,1.051612377166748047e+00
-1.356407165527343750e+00,-4.837615191936492920e-01
-9.598733782768249512e-01,5.612264871597290039e-01
5.608002543449401855e-01,-2.777043581008911133e-01
1.771513372659683228e-01,-5.818307995796203613e-01
-1.286898970603942871e+00,-9.128531217575073242e-01
6.611789464950561523e-01,3.965681493282318115e-01
-1.270577549934387207e+00,-9.577071666717529297e-01
-1.943796575069427490e-01,6.215534806251525879e-01
7.192655801773071289e-01,6.438815593719482422e-02
7.472401857376098633e-01,9.093624353408813477e-02
-7.167574167251586914e-01,-3.847862184047698975e-01
5.001586079597473145e-01,6.384465694427490234e-01
7.120791673660278320e-01,1.062462925910949707e-01
2.095962166786193848e-01,7.546134591102600098e-01
1.385689020156860352e+00,4.742920100688934326e-01
-7.038756012916564941e-01,-9.376391768455505371e-02
1.837921589612960815e-01,-9.273782372474670410e-02
-1.250121831893920898e+00,3.339356184005737305e-02
-1.253091335296630859e+00,7.615563273429870605e-02
-6.627012491226196289e-01,-1.958978176116943359e-02
1.250144004821777344e+00,9.243278503417968750e-01
5.547593235969543457e-01,6.588998436927795410e-01
-5.179700851440429688e-01,9.825814962387084961e-01
-1.259279727935791016e+00,7.095658779144287109e-02
-5.084545016288757324e-01,3.240441083908081055e-01
-5.201913118362426758e-01,-6.785997152328491211e-01
-1.690899431705474854e-01,6.006891131401062012e-01
-6.935963034629821777e-01,-4.352512955665588379e-02
1.382421016693115234e+00,4.724745154380798340e-01
1.345155358314514160e+00,4.625527560710906982e-01
-8.349868468940258026e-03,-1.292557358741760254e+00
-5.101059079170227051e-01,-6.700217723846435547e-01
-9.223862290382385254e-01,-1.202701210975646973e+00
9.530413150787353516e-01,-5.715526342391967773e-01
-1.807257384061813354e-01,5.869458913803100586e-01
-5.136191844940185547e-01,3.286736607551574707e-01
-2.006103098392486572e-01,1.373790055513381958e-01
1.332288861274719238e+00,4.527404308319091797e-01
1.229225397109985352e+00,-6.107547879219055176e-02
4.846498668193817139e-01,6.303702592849731445e-01
1.011185930110514164e-03,1.275619268417358398e+00
1.821723580360412598e-01,-6.108509898185729980e-01
5.182827115058898926e-01,1.335817575454711914e+00
1.941377222537994385e-01,2.291798293590545654e-01
1.358868718147277832e+00,4.709292352199554443e-01
-5.211007595062255859e-01,-6.571309566497802734e-01
1.508459001779556274e-01,2.226427346467971802e-01
-1.256019771099090576e-01,1.148208603262901306e-01
-1.744651645421981812e-01,-7.308491468429565430e-01
1.834862232208251953e-01,7.410852313041687012e-01
-5.242166519165039062e-01,9.959318637847900391e-01
5.253245234489440918e-01,1.367220878601074219e+00
6.804286241531372070e-01,4.057120978832244873e-01
1.737391799688339233e-01,-6.204106211662292480e-01
5.119625329971313477e-01,6.194164156913757324e-01
1.247224688529968262e+00,-5.982598662376403809e-02
1.810441017150878906e-01,2.147703170776367188e-01
5.202301144599914551e-01,-9.923940300941467285e-01
5.460758209228515625e-01,1.376989126205444336e+00
-1.848609303124248981e-03,-1.289308190345764160e+00
-5.122010111808776855e-01,9.747939109802246094e-01
1.800251901149749756e-01,7.244262099266052246e-01
-5.257103443145751953e-01,3.210864961147308350e-01
5.171048045158386230e-01,-1.003909111022949219e+00
7.124500274658203125e-01,6.122416257858276367e-02
1.649530678987503052e-01,7.357586026191711426e-01
1.699870526790618896e-01,2.371903061866760254e-01
-1.906133294105529785e-01,6.371327638626098633e-01
4.779924750328063965e-01,1.330377221107482910e+00
-6.718335151672363281e-01,-4.856231808662414551e-02
-1.269874215126037598e+00,2.998921275138854980e-02
-1.757711470127105713e-01,6.278898715972900391e-01
5.250815749168395996e-01,6.600354313850402832e-01
4.946861565113067627e-01,6.780587434768676758e-01
-7.950360886752605438e-03,1.253278255462646484e+00
-5.426290035247802734e-01,2.767245173454284668e-01
2.102373689413070679e-01,-5.835677385330200195e-01
-6.919505596160888672e-01,-3.987982273101806641e-01
-9.607711434364318848e-01,-1.248930692672729492e+00
1.802113801240921021e-01,2.473092526197433472e-01
1.236850142478942871e+00,-4.130524396896362305e-02
1.648201607167720795e-02,1.282032370567321777e+00
1.723082661628723145e-01,-1.608148664236068726e-01
2.109244614839553833e-01,-1.038387194275856018e-01
-1.262547969818115234e+00,4.453754425048828125e-02
4.696317315101623535e-01,-3.199998736381530762e-01
-4.975324273109436035e-01,-1.351811528205871582e+00
-7.134944796562194824e-01,-4.063797593116760254e-01
7.162932157516479492e-01,1.073856353759765625e-01
-2.072439640760421753e-01,-7.424677014350891113e-01
6.946484446525573730e-01,7.272443175315856934e-02
1.365370512008666992e+00,4.749113917350769043e-01
1.484984159469604492e-01,7.332928180694580078e-01
-1.648325175046920776e-01,-7.119737863540649414e-01
5.030841827392578125e-01,7.055849432945251465e-01
5.215787887573242188e-01,1.335466980934143066e+00
-5.005002021789550781e-01,1.004642486572265625e+00
-9.695830941200256348e-01,-1.250004649162292480e+00
-4.848934244364500046e-03,1.251368880271911621e+00
-7.143645882606506348e-01,-4.333947002887725830e-01
5.082582831382751465e-01,-1.014643669128417969e+00
-5.030631422996520996e-01,-6.720526218414306641e-01
-9.771612286567687988e-01,5.181366205215454102e-01
5.049227476119995117e-01,-3.159065246582031250e-01
-7.004581093788146973e-01,-4.102233052253723145e-01
7.405835390090942383e-01,4.173578619956970215e-01
5.241873264312744141e-01,1.339479207992553711e+00
-9.519931077957153320e-01,5.806609392166137695e-01
-1.318737864494323730e+00,-4.689533710479736328e-01
1.878039389848709106e-01,-1.171112805604934692e-01
-1.301803532987833023e-02,-1.290129423141479492e+00
1.696248352527618408e-01,-6.102290749549865723e-01
1.331697583198547363e+00,5.008103251457214355e-01
9.808827638626098633e-01,-5.544542670249938965e-01
-7.198012471199035645e-01,-6.264999508857727051e-02
-1.342506408691406250e+00,-4.747334420680999756e-01
1.751565337181091309e-01,2.188758403062820435e-01
-1.702599525451660156e-01,5.827270746231079102e-01
-5.301329493522644043e-01,2.715598046779632568e-01
1.276675701141357422e+00,-5.201533436775207520e-02
-5.367358326911926270e-01,-1.365621924400329590e+00
1.744613349437713623e-01,7.151396274566650391e-01
1.157968491315841675e-02,-1.260281801223754883e+00
5.172317624092102051e-01,1.360271573066711426e+00
1.241138339042663574e+00,-5.266630649566650391e-02
9.169333577156066895e-01,1.218453764915466309e+00
-5.463705658912658691e-01,3.072339892387390137e-01
-2.088306099176406860e-01,-2.475223243236541748e-01
1.906376034021377563e-01,7.385591268539428711e-01
-7.326042652130126953e-01,-7.174356281757354736e-02
