I,Q
-4.793204367160797119e-01,-4.939568340778350830e-01
-1.842422485351562500e-01,6.636915802955627441e-01
-3.791780024766921997e-02,1.283679008483886719e+00
-1.163526177406311035e+00,-5.303233861923217773e-01
-1.500310748815536499e-01,-6.776201128959655762e-01
-1.297726035118103027e-01,-6.752001047134399414e-01
2.202829420566558838e-01,-6.584914922714233398e-01
-1.550766974687576294e-01,-1.768768727779388428e-01
9.218122959136962891e-01,-8.714415431022644043e-01
-4.996688663959503174e-01,4.788701534271240234e-01
1.178905248641967773e+00,4.994945228099822998e-01
2.496465854346752167e-02,-1.274643301963806152e+00
-1.710812002420425415e-01,1.758382767438888550e-01
1.839351058006286621e-01,6.696516275405883789e-01
-1.666242629289627075e-01,-6.703072786331176758e-01
1.992315798997879028e-01,-6.541357040405273438e-01
6.723280549049377441e-01,-1.486881077289581299e-01
-1.749319285154342651e-01,-6.551861763000488281e-01
4.073344171047210693e-02,-1.269741892814636230e+00
-1.180646061897277832e+00,5.017789006233215332e-01
-1.191679120063781738e+00,-4.976705908775329590e-01
4.770102500915527344e-01,-1.177573800086975098e+00
1.272752046585083008e+00,-1.791303977370262146e-02
4.854083061218261719e-01,-1.179030895233154297e+00
9.113062620162963867e-01,8.962534070014953613e-01
-1.623611748218536377e-01,1.798983067274093628e-01
4.220199882984161377e-01,-1.200096368789672852e+00
1.733455061912536621e-01,-6.737203001976013184e-01
9.356111884117126465e-01,8.737323880195617676e-01
2.065099775791168213e-01,6.548742651939392090e-01
-1.702082008123397827e-01,1.788963824510574341e-01
1.146507501602172852e+00,-5.453364849090576172e-01
1.958633661270141602e-01,6.494544744491577148e-01
4.574064612388610840e-01,-1.188469767570495605e+00
1.253569964319467545e-02,1.255271911621093750e+00
-1.154868245124816895e+00,5.295605659484863281e-01
-4.725199341773986816e-01,4.985606074333190918e-01
-1.842904835939407349e-02,-1.272185802459716797e+00
-9.225933551788330078e-01,-8.833506107330322266e-01
-4.712755978107452393e-01,-4.849637150764465332e-01
-1.616425663232803345e-01,-1.847591102123260498e-01
1.274941325187683105e+00,5.081861466169357300e-02
-9.240493178367614746e-01,8.692164421081542969e-01
1.740114539861679077e-01,-1.652470231056213379e-01
4.807296395301818848e-01,1.182814359664916992e+00
-1.359854079782962799e-02,1.279427051544189453e+00
4.835674166679382324e-01,1.188017845153808594e+00
1.658803224563598633e-01,6.651086807250976562e-01
4.701088070869445801e-01,1.189383506774902344e+00
-6.679039597511291504e-01,-1.742270737886428833e-01
1.689484864473342896e-01,-1.653841733932495117e-01
-8.958612680435180664e-01,-9.052492976188659668e-01
6.614807844161987305e-01,-1.536154150962829590e-01
6.712877750396728516e-01,-1.679434925317764282e-01
6.573153138160705566e-01,1.890019327402114868e-01
4.898059964179992676e-01,4.845603704452514648e-01
-1.282251358032226562e+00,-4.028033465147018433e-02
-9.261388182640075684e-01,8.903346657752990723e-01
-6.565873622894287109e-01,-1.899401098489761353e-01
-6.566418409347534180e-01,-1.976555734872817993e-01
-1.174902439117431641e+00,4.805328249931335449e-01
1.181918859481811523e+00,4.884806871414184570e-01
4.731261432170867920e-01,4.940716922283172607e-01
