I,Q
1.027363061904907227e+00,2.076038392260670662e-03
-4.364719789009541273e-04,9.607791304588317871e-01
-7.249658107757568359e-01,7.213833928108215332e-01
-6.700674295425415039e-01,6.639943718910217285e-01
-6.743208970874547958e-03,9.979549646377563477e-01
-1.022568345069885254e+00,1.531887974124401808e-04
3.792291972786188126e-03,-9.774472713470458984e-01
-6.757208704948425293e-01,-6.873640418052673340e-01
-4.870605189353227615e-03,9.699457883834838867e-01
-1.007239103317260742e+00,-1.526851672679185867e-03
7.081766724586486816e-01,7.118001580238342285e-01
7.273529767990112305e-01,-7.225098013877868652e-01
3.501193714328110218e-05,-9.446101784706115723e-01
9.764729142189025879e-01,4.499356262385845184e-03
1.039047122001647949e+00,-2.810079371556639671e-03
7.057154178619384766e-01,7.128067612648010254e-01
1.474042073823511600e-03,-9.675216674804687500e-01
6.778047680854797363e-01,6.976380348205566406e-01
1.004620909690856934e+00,6.867092568427324295e-03
-7.292113304138183594e-01,-7.139861583709716797e-01
6.940140128135681152e-01,-7.195193767547607422e-01
-7.039688229560852051e-01,6.997486948966979980e-01
-4.093329422175884247e-03,9.619864821434020996e-01
7.670158054679632187e-03,-1.024450302124023438e+00
-6.981385350227355957e-01,-7.063052058219909668e-01
9.681004881858825684e-01,3.292341018095612526e-03
-1.044058322906494141e+00,3.130780998617410660e-03
8.861356414854526520e-03,-1.023073911666870117e+00
-1.010452151298522949e+00,5.204396788030862808e-03
1.012646555900573730e+00,-1.744294888339936733e-03
-8.563913404941558838e-03,1.034140586853027344e+00
1.007679700851440430e+00,-4.197114612907171249e-03
-2.804397605359554291e-03,-9.723094701766967773e-01
-2.434912882745265961e-02,9.998035430908203125e-01
-7.063258886337280273e-01,-7.239142060279846191e-01
1.047270059585571289e+00,4.774942528456449509e-03
-9.902408719062805176e-01,1.751289935782551765e-03
-6.828854680061340332e-01,-6.838588118553161621e-01
7.096930146217346191e-01,6.939381361007690430e-01
-9.836310148239135742e-01,7.551943883299827576e-03
3.707869909703731537e-03,-1.074553012847900391e+00
-9.946285281330347061e-04,-1.066473841667175293e+00
-6.943162083625793457e-01,-7.067370414733886719e-01
7.192698121070861816e-01,-7.143203020095825195e-01
-9.952220320701599121e-01,-2.786752069368958473e-03
1.027538254857063293e-02,-9.983225464820861816e-01
9.883409142494201660e-01,4.352687858045101166e-03
-7.073607444763183594e-01,7.087593078613281250e-01
7.257291674613952637e-01,7.200162410736083984e-01
6.764083504676818848e-01,-6.692016720771789551e-01
-7.069448828697204590e-01,7.129159569740295410e-01
7.147096912376582623e-04,-9.756536483764648438e-01
-9.198266081511974335e-03,9.590607285499572754e-01
-1.005294919013977051e+00,-4.389001987874507904e-03
7.300096750259399414e-01,-7.381077408790588379e-01
6.996337175369262695e-01,-6.983258128166198730e-01
-6.308059673756361008e-03,9.661266207695007324e-01
-4.654094576835632324e-03,-9.958119988441467285e-01
1.017537832260131836e+00,-2.093510003760457039e-03
1.055241584777832031e+00,-3.090513870120048523e-03
1.018425449728965759e-02,-9.713992476463317871e-01
2.390808425843715668e-03,-9.725490212440490723e-01
-7.105518579483032227e-01,7.045039534568786621e-01
-7.086420059204101562e-01,-7.081691026687622070e-01
7.260164618492126465e-01,7.246546149253845215e-01
-9.951226115226745605e-01,2.890728879719972610e-03
1.899906783364713192e-03,-9.785073995590209961e-01
-6.779676675796508789e-01,6.765221953392028809e-01
-7.127974629402160645e-01,-6.968479156494140625e-01
1.008208870887756348e+00,1.254062913358211517e-02
-7.116271257400512695e-01,-7.057661414146423340e-01
7.008966803550720215e-01,7.128625512123107910e-01
6.889520287513732910e-01,6.845647096633911133e-01
-9.783254861831665039e-01,-3.693461650982499123e-03
7.313186526298522949e-01,-7.054290175437927246e-01
-5.018094554543495178e-03,1.019185781478881836e+00
-1.618359796702861786e-02,-1.022866010665893555e+00
-7.329860925674438477e-01,-7.193483114242553711e-01
9.594772458076477051e-01,-1.226692739874124527e-02
