I,Q
-7.227694392204284668e-01,7.206296920776367188e-01
9.969506859779357910e-01,4.518482368439435959e-03
6.302827596664428711e-01,7.601131200790405273e-01
5.707365926355123520e-03,9.513562917709350586e-01
6.619993448257446289e-01,-7.391696572303771973e-01
1.010547876358032227e+00,1.003285637125372887e-03
2.617845125496387482e-02,9.603117108345031738e-01
-6.304610371589660645e-01,-7.108668088912963867e-01
-1.033934950828552246e+00,5.020434409379959106e-02
6.563609242439270020e-01,-7.173517346382141113e-01
-9.876775145530700684e-01,3.665399178862571716e-02
7.249953150749206543e-01,7.209195494651794434e-01
7.073542475700378418e-01,-6.760612726211547852e-01
5.965115875005722046e-02,-9.688176512718200684e-01
-7.125219702720642090e-01,6.889805793762207031e-01
-2.144954539835453033e-02,1.025995492935180664e+00
1.018221303820610046e-02,1.024366021156311035e+00
-1.049667000770568848e+00,8.766644448041915894e-02
4.308475553989410400e-02,1.046144962310791016e+00
-9.332364425063133240e-03,-9.101076722145080566e-01
9.279713034629821777e-01,-9.963439404964447021e-02
6.521390080451965332e-01,7.333114743232727051e-01
-2.834160625934600830e-02,-1.047045469284057617e+00
4.996190592646598816e-02,1.034628868103027344e+00
7.415539622306823730e-01,6.864736080169677734e-01
-6.843276023864746094e-01,-6.842175722122192383e-01
-7.460274696350097656e-01,7.273375988006591797e-01
7.655565738677978516e-01,-7.476394772529602051e-01
7.063845396041870117e-01,-6.725546121597290039e-01
4.062809050083160400e-03,9.884389042854309082e-01
-7.625792622566223145e-01,6.980237364768981934e-01
9.323326945304870605e-01,-2.765657193958759308e-02
-1.954012922942638397e-02,-1.067038774490356445e+00
-1.162395119667053223e+00,-3.956627100706100464e-02
6.718752980232238770e-01,5.528904199600219727e-01
-9.379835128784179688e-01,3.086595423519611359e-02
7.308696508407592773e-01,-6.952859163284301758e-01
1.039019465446472168e+00,3.231462836265563965e-02
7.580655813217163086e-01,-7.625728845596313477e-01
7.763472199440002441e-01,-6.561392545700073242e-01
2.333438955247402191e-02,9.453132748603820801e-01
7.008000016212463379e-01,6.524546146392822266e-01
-6.242346763610839844e-01,7.066118121147155762e-01
4.516466986387968063e-03,1.028153061866760254e+00
4.404340684413909912e-02,-1.018659114837646484e+00
-6.382628679275512695e-01,-6.880586743354797363e-01
-9.620179533958435059e-01,2.970820665359497070e-02
7.464008331298828125e-01,-7.371007800102233887e-01
-6.689524650573730469e-01,7.076232433319091797e-01
6.679377555847167969e-01,-6.178210377693176270e-01
-9.821083396673202515e-03,-9.500344991683959961e-01
4.893349949270486832e-03,-9.722386002540588379e-01
-7.715250253677368164e-01,-6.982119083404541016e-01
2.114323154091835022e-02,-1.029192686080932617e+00
9.772303104400634766e-01,-2.959287539124488831e-02
4.119812697172164917e-02,-1.032254099845886230e+00
-1.043380737304687500e+00,-6.361862272024154663e-02
-1.031121134757995605e+00,4.886344820261001587e-02
3.768566623330116272e-02,9.861218929290771484e-01
-9.773610830307006836e-01,-1.971131190657615662e-02
7.771255373954772949e-01,-6.779730916023254395e-01
-6.906150579452514648e-01,-7.080104351043701172e-01
-1.030250430107116699e+00,-1.037768181413412094e-02
2.482664771378040314e-02,-9.720250964164733887e-01
1.092780351638793945e+00,8.370932936668395996e-02
