I,Q
-7.583475112915039062e-01,4.544948935508728027e-01
-7.523569464683532715e-01,4.525111019611358643e-01
7.144221067428588867e-01,-4.397229552268981934e-01
2.710649976506829262e-03,9.791694283485412598e-01
-2.142327465116977692e-02,9.783532619476318359e-01
1.066954970359802246e+00,3.643693923950195312e-01
-7.384755611419677734e-01,-9.767385721206665039e-01
7.873107194900512695e-01,9.739637970924377441e-01
-7.670257687568664551e-01,4.679400920867919922e-01
-7.750099301338195801e-01,-9.760317802429199219e-01
-1.056092858314514160e+00,-3.438228666782379150e-01
8.495974354445934296e-03,-9.909245967864990234e-01
1.175330180558376014e-04,-9.860752820968627930e-01
-7.225780487060546875e-01,4.745931625366210938e-01
7.483368515968322754e-01,-4.599680900573730469e-01
-7.610960006713867188e-01,-9.550779461860656738e-01
4.835927858948707581e-03,1.012546777725219727e+00
-2.358877286314964294e-02,1.031161665916442871e+00
2.046262472867965698e-02,-9.723829030990600586e-01
-7.553410530090332031e-01,-9.245381355285644531e-01
-3.420922532677650452e-02,-1.056228160858154297e+00
-7.770150899887084961e-01,4.537994265556335449e-01
-1.075405955314636230e+00,-3.878435492515563965e-01
7.746375799179077148e-01,9.868100285530090332e-01
1.636031270027160645e-02,9.963523745536804199e-01
-7.400900125503540039e-01,4.649111628532409668e-01
-1.848496124148368835e-02,-9.972569942474365234e-01
1.089705467224121094e+00,3.535528779029846191e-01
-7.512517571449279785e-01,-9.478933811187744141e-01
-7.489791512489318848e-01,-9.677417278289794922e-01
7.245627045631408691e-01,-4.640326499938964844e-01
-3.213784098625183105e-02,-1.023330688476562500e+00
-7.601891160011291504e-01,4.178367555141448975e-01
6.737809777259826660e-01,9.192268848419189453e-01
-7.676415443420410156e-01,3.763060271739959717e-01
2.945403940975666046e-02,1.023850560188293457e+00
1.073231339454650879e+00,3.713481128215789795e-01
1.853188313543796539e-02,1.020773172378540039e+00
7.751110792160034180e-01,-4.675355851650238037e-01
-7.180237174034118652e-01,-9.292183518409729004e-01
-7.398263216018676758e-01,4.303064346313476562e-01
7.479133605957031250e-01,-4.764482080936431885e-01
1.101304531097412109e+00,3.754154145717620850e-01
2.145045902580022812e-03,1.013322591781616211e+00
7.718266248703002930e-01,-4.521944820880889893e-01
3.269664570689201355e-02,-9.803287386894226074e-01
1.079984426498413086e+00,3.816513419151306152e-01
-7.322464585304260254e-01,4.439352154731750488e-01
1.812095381319522858e-02,1.006411790847778320e+00
-1.860287785530090332e-02,1.033586502075195312e+00
-4.664414096623659134e-03,-9.792446494102478027e-01
2.324041910469532013e-03,-9.867914319038391113e-01
-1.092540025711059570e+00,-3.686692118644714355e-01
1.004174165427684784e-02,9.903690814971923828e-01
1.051131129264831543e+00,3.452884554862976074e-01
1.081511855125427246e+00,3.544606566429138184e-01
1.041342139244079590e+00,3.267321288585662842e-01
-7.656893730163574219e-01,-9.464173316955566406e-01
1.789838634431362152e-02,9.998980164527893066e-01
1.072697520256042480e+00,3.570637702941894531e-01
3.325463458895683289e-02,-9.756278395652770996e-01
-7.430762052536010742e-01,4.532516002655029297e-01
7.365416884422302246e-01,-4.605258107185363770e-01
7.626998424530029297e-01,-4.344511032104492188e-01
-7.068437337875366211e-01,5.034518241882324219e-01
7.936545014381408691e-01,-4.278068542480468750e-01
7.570686936378479004e-01,9.777258634567260742e-01
1.086816549301147461e+00,3.428019285202026367e-01
-7.658827900886535645e-01,4.795570671558380127e-01
7.605515122413635254e-01,1.003945827484130859e+00
-7.827739715576171875e-01,-9.863865375518798828e-01
-7.245810627937316895e-01,5.213940143585205078e-01
-1.066122531890869141e+00,-3.810535073280334473e-01
1.057970285415649414e+00,3.495165109634399414e-01
1.123460412025451660e+00,4.024129807949066162e-01
7.350717782974243164e-01,-4.274049103260040283e-01
-1.111832737922668457e+00,-3.484627008438110352e-01
-5.904830247163772583e-02,-1.035241961479187012e+00
-2.762309461832046509e-02,-1.047443151473999023e+00
7.432444095611572266e-01,9.938627481460571289e-01
2.018830552697181702e-02,-1.003009796142578125e+00
8.092574477195739746e-01,-4.180568456649780273e-01
-7.676756381988525391e-01,-9.115303754806518555e-01
-7.721155285835266113e-01,4.141264259815216064e-01
1.038529071956872940e-02,1.054035544395446777e+00
-1.033523917198181152e+00,-3.290841281414031982e-01
1.106066226959228516e+00,3.679414987564086914e-01
8.052625926211476326e-04,-1.037101507186889648e+00
-1.058936238288879395e+00,-3.410849869251251221e-01
-1.061664581298828125e+00,-3.909195661544799805e-01
