I,Q
-6.252971943467855453e-03,1.005398750305175781e+00
-1.217362820170819759e-03,1.001803874969482422e+00
-1.030670285224914551e+00,2.116163820028305054e-02
1.002278566360473633e+00,-1.941994391381740570e-02
6.890985965728759766e-01,-7.199071645736694336e-01
-7.028957605361938477e-01,7.075073122978210449e-01
1.045117899775505066e-02,9.841552972793579102e-01
7.377058863639831543e-01,-7.086079120635986328e-01
-1.354779582470655441e-02,1.020043015480041504e+00
9.797407984733581543e-01,-4.090083763003349304e-03
-7.021872997283935547e-01,-6.924734711647033691e-01
-6.999651193618774414e-01,7.126212120056152344e-01
7.072055935859680176e-01,-6.947125196456909180e-01
-9.761855602264404297e-01,1.244887337088584900e-02
7.049448490142822266e-01,6.998702883720397949e-01
-7.156700491905212402e-01,-6.967286467552185059e-01
7.111718058586120605e-01,-6.973791718482971191e-01
-1.982846111059188843e-02,1.034998893737792969e+00
1.017200708389282227e+00,1.842239685356616974e-02
9.962742328643798828e-01,3.588756918907165527e-02
-2.875589951872825623e-02,9.602231383323669434e-01
-2.194469049572944641e-02,-9.895383119583129883e-01
6.957920193672180176e-01,6.883248686790466309e-01
-9.800537824630737305e-01,1.382481027394533157e-02
7.208590507507324219e-01,-7.153441309928894043e-01
9.094090200960636139e-03,1.009137988090515137e+00
6.915684938430786133e-01,-6.990300416946411133e-01
-6.837719678878784180e-01,-7.232885956764221191e-01
-1.000288367271423340e+00,1.379419025033712387e-02
1.001621961593627930e+00,-4.615510813891887665e-03
-7.292529344558715820e-01,-7.107329964637756348e-01
-1.027014732360839844e+00,-1.104128640145063400e-02
-7.149077653884887695e-01,-7.338705658912658691e-01
-7.719395160675048828e-01,-7.229027748107910156e-01
-1.406539138406515121e-02,-1.061567544937133789e+00
7.318655252456665039e-01,-6.947842240333557129e-01
9.486803784966468811e-03,-9.952808022499084473e-01
7.226844429969787598e-01,-6.942058801651000977e-01
-6.867625713348388672e-01,6.849631071090698242e-01
-9.723572731018066406e-01,2.034768648445606232e-02
7.164224982261657715e-01,6.852743029594421387e-01
-7.096245884895324707e-01,-7.289254665374755859e-01
1.033084869384765625e+00,-1.975957566173747182e-04
7.089098691940307617e-01,-6.958673000335693359e-01
-6.895233988761901855e-01,-7.145560383796691895e-01
2.748443931341171265e-02,-9.923954606056213379e-01
7.222703099250793457e-01,7.189671397209167480e-01
7.227940559387207031e-01,-7.190812230110168457e-01
-6.918745040893554688e-01,-7.069005966186523438e-01
-1.563737168908119202e-02,-9.643545746803283691e-01
-3.920854534953832626e-03,-9.800523519515991211e-01
7.090603113174438477e-01,7.181898951530456543e-01
-2.571758441627025604e-02,1.003551125526428223e+00
-9.915590286254882812e-01,-1.165456138551235199e-02
-7.161970734596252441e-01,6.952924728393554688e-01
1.016447424888610840e+00,-1.287674717605113983e-02
6.897879838943481445e-01,-7.325051426887512207e-01
-7.195312380790710449e-01,-6.875991225242614746e-01
-9.849548339843750000e-01,-5.540544167160987854e-03
9.038099087774753571e-03,-1.007869362831115723e+00
7.350602746009826660e-01,7.187377214431762695e-01
-7.005228400230407715e-01,7.067459821701049805e-01
6.950299739837646484e-01,7.029637098312377930e-01
-6.971952915191650391e-01,7.182751297950744629e-01
-6.700662374496459961e-01,-6.736876368522644043e-01
3.593160212039947510e-02,-9.923253655433654785e-01
5.178032442927360535e-03,1.011065006256103516e+00
-6.862002611160278320e-01,-7.320058941841125488e-01
-1.258702017366886139e-02,1.030064940452575684e+00
7.152124047279357910e-01,7.405167222023010254e-01
-2.678558230400085449e-02,9.890305399894714355e-01
2.213070727884769440e-02,1.054835915565490723e+00
-1.003511309623718262e+00,-1.554722432047128677e-02
-1.003341317176818848e+00,-1.012247242033481598e-02
1.051708936691284180e+00,1.715622469782829285e-02
6.937943696975708008e-01,7.329769730567932129e-01
-7.490415573120117188e-01,7.345694899559020996e-01
9.503646492958068848e-01,-1.348049193620681763e-02
9.767803549766540527e-01,-3.394015133380889893e-02
7.006641626358032227e-01,7.367855310440063477e-01
1.697006635367870331e-02,-1.008833408355712891e+00
-6.580594182014465332e-01,-6.954793334007263184e-01
-1.409409008920192719e-02,-9.487454295158386230e-01
-1.782621070742607117e-02,9.735553860664367676e-01
1.008729815483093262e+00,4.507322236895561218e-02
7.309975028038024902e-01,7.280251383781433105e-01
-6.700192093849182129e-01,-7.154257893562316895e-01
-7.064298987388610840e-01,-7.404710054397583008e-01
7.096362113952636719e-01,7.250497937202453613e-01
-7.068707942962646484e-01,-7.328183054924011230e-01
-3.168925642967224121e-03,1.027514100074768066e+00
-9.521102309226989746e-01,3.941043838858604431e-02
9.997892975807189941e-01,1.994299935176968575e-03
7.518887519836425781e-01,6.824790835380554199e-01
-7.731676305411383510e-05,9.791097044944763184e-01
-1.026492938399314880e-02,-9.761931896209716797e-01
1.008313655853271484e+00,1.707445085048675537e-02
9.948555231094360352e-01,-1.390323787927627563e-02
2.255603112280368805e-02,9.936480522155761719e-01
-6.946429610252380371e-01,-6.837492585182189941e-01
1.033340334892272949e+00,-9.148891083896160126e-03
-9.390553459525108337e-03,-1.005481362342834473e+00
9.904255867004394531e-01,-1.561594195663928986e-02
-7.006866931915283203e-01,-7.148405313491821289e-01
3.964348509907722473e-02,-9.751949906349182129e-01
9.955074191093444824e-01,4.553748294711112976e-04
9.213755838572978973e-03,-1.018144965171813965e+00
7.094982862472534180e-01,-6.822261214256286621e-01
-7.289208173751831055e-01,-6.636959910392761230e-01
-2.414401993155479431e-02,9.880225658416748047e-01
-2.419704757630825043e-02,-9.991143345832824707e-01
