I,Q
7.196068167686462402e-01,-6.894959211349487305e-01
-7.141234278678894043e-01,7.012736797332763672e-01
7.105515003204345703e-01,-6.820719242095947266e-01
-9.982745051383972168e-01,-4.048909246921539307e-02
9.913468360900878906e-01,5.010184645652770996e-02
-6.495836973190307617e-01,-7.585271000862121582e-01
-6.576581001281738281e-01,-7.554348111152648926e-01
-7.162810564041137695e-01,6.844272613525390625e-01
7.191231846809387207e-01,-6.807605028152465820e-01
1.215309835970401764e-03,-1.001714944839477539e+00
-9.979848265647888184e-01,4.736991599202156067e-03
1.002768635749816895e+00,1.843353733420372009e-02
-4.797155968844890594e-03,-9.948940277099609375e-01
1.090551260858774185e-02,-9.948715567588806152e-01
-1.873205602169036865e-02,9.968500137329101562e-01
9.955736994743347168e-01,4.271054267883300781e-02
-3.903371468186378479e-02,1.003240585327148438e+00
-1.008252620697021484e+00,5.437210202217102051e-04
-2.046608738601207733e-02,1.007389068603515625e+00
-1.001461029052734375e+00,1.893383823335170746e-02
9.880282282829284668e-01,-2.383818104863166809e-02
6.936827301979064941e-01,-7.071540951728820801e-01
7.322370540350675583e-03,9.922639727592468262e-01
7.073825597763061523e-01,-7.094135284423828125e-01
7.087147831916809082e-01,-7.145271301269531250e-01
-3.364596888422966003e-02,-9.956826567649841309e-01
7.406038045883178711e-01,6.687453985214233398e-01
-1.083627715706825256e-02,-1.006638646125793457e+00
-6.781761646270751953e-01,7.404694557189941406e-01
9.995509386062622070e-01,-4.727981984615325928e-02
4.491349309682846069e-02,9.975404739379882812e-01
-7.513321638107299805e-01,-6.765833497047424316e-01
-3.472384437918663025e-02,-1.010409116744995117e+00
-3.052189946174621582e-02,-1.006382703781127930e+00
9.938504099845886230e-01,-3.704893589019775391e-02
-6.738845705986022949e-01,7.340161800384521484e-01
-6.884321570396423340e-01,7.234008908271789551e-01
-6.882293224334716797e-01,7.244677543640136719e-01
-2.196040749549865723e-02,-1.008897304534912109e+00
7.062760591506958008e-01,7.275088429450988770e-01
6.804980635643005371e-01,7.278336882591247559e-01
-7.442663311958312988e-01,6.594921946525573730e-01
7.497131824493408203e-01,-6.763591170310974121e-01
-7.158297300338745117e-01,7.022070884704589844e-01
-5.313036497682332993e-03,9.969502091407775879e-01
-6.819961071014404297e-01,-7.173717021942138672e-01
7.072127461433410645e-01,7.180676460266113281e-01
-7.205521464347839355e-01,6.817558407783508301e-01
1.006038904190063477e+00,2.113283611834049225e-02
7.092821002006530762e-01,-6.836410760879516602e-01
-1.001501202583312988e+00,1.697851344943046570e-02
-7.018315196037292480e-01,-7.070189714431762695e-01
-4.884001985192298889e-02,1.000323891639709473e+00
2.538272365927696228e-02,-1.004475593566894531e+00
-2.701481431722640991e-02,9.947842955589294434e-01
7.115500569343566895e-01,7.041631937026977539e-01
-7.316466569900512695e-01,6.783481836318969727e-01
9.944985508918762207e-01,2.914229035377502441e-02
-9.936807751655578613e-01,-1.655267924070358276e-02
-2.234750799834728241e-02,9.965218901634216309e-01
2.584753558039665222e-03,1.004842996597290039e+00
8.313101716339588165e-05,-1.000151991844177246e+00
1.398059539496898651e-02,-1.001617550849914551e+00
1.003499865531921387e+00,3.425548970699310303e-02
2.777484431862831116e-02,-9.859901666641235352e-01
-9.849613904953002930e-01,2.326705120503902435e-02
-7.346595525741577148e-01,-6.714601516723632812e-01
-9.911581873893737793e-01,2.444855496287345886e-02
7.083985805511474609e-01,-6.881555914878845215e-01
-9.965395331382751465e-01,-2.110084891319274902e-02
6.783918142318725586e-01,7.197080850601196289e-01
6.805887222290039062e-01,7.629737854003906250e-01
9.980790615081787109e-01,3.153806924819946289e-02
-4.445714503526687622e-02,9.948474168777465820e-01
-6.396178603172302246e-01,-7.425364255905151367e-01
-7.585415840148925781e-01,6.689795851707458496e-01
7.253108024597167969e-01,-6.587938070297241211e-01
-7.645987868309020996e-01,6.609476208686828613e-01
-1.007658123970031738e+00,-6.323371827602386475e-02
-6.909044384956359863e-01,-7.136525511741638184e-01
6.966507434844970703e-01,7.207420468330383301e-01
1.020170807838439941e+00,6.902492605149745941e-04
-1.867650821805000305e-02,1.020912647247314453e+00
7.016522288322448730e-01,-7.161463499069213867e-01
1.002701520919799805e+00,4.606778174638748169e-02
2.172033488750457764e-02,-9.912126064300537109e-01
3.081147186458110809e-02,-1.003062129020690918e+00
-1.729292050004005432e-02,-1.013566017150878906e+00
-8.037457242608070374e-03,-9.925929903984069824e-01
1.370106637477874756e-02,-1.010475277900695801e+00
9.983613491058349609e-01,2.826919034123420715e-02
3.222655877470970154e-02,-9.834702014923095703e-01
-9.998179078102111816e-01,-2.319283410906791687e-02
2.484496496617794037e-02,9.897366762161254883e-01
7.319789528846740723e-01,6.723781824111938477e-01
6.852048635482788086e-01,-7.147044539451599121e-01
6.899596452713012695e-01,-7.203638553619384766e-01
3.576438128948211670e-02,9.936442375183105469e-01
-6.684741377830505371e-01,7.324148416519165039e-01
6.930285096168518066e-01,-7.165873646736145020e-01
-1.015391387045383453e-02,-1.003802657127380371e+00
6.917804479598999023e-01,-7.205465435981750488e-01
-2.707804366946220398e-02,-1.006061911582946777e+00
-9.973356127738952637e-01,-7.813042961061000824e-03
7.285855412483215332e-01,7.120360732078552246e-01
7.210111021995544434e-01,6.912304759025573730e-01
1.003177762031555176e+00,-3.575630486011505127e-02
6.978857517242431641e-01,-7.070987224578857422e-01
6.938126683235168457e-01,7.290929555892944336e-01
-3.280511498451232910e-02,9.945855736732482910e-01
