I,Q
-7.193420529365539551e-01,-7.127082943916320801e-01
7.230393290519714355e-01,-7.227016687393188477e-01
7.141422033309936523e-01,7.443209290504455566e-01
-7.053875923156738281e-01,6.957525610923767090e-01
7.296832799911499023e-01,-7.478243708610534668e-01
-7.286497950553894043e-01,7.313315272331237793e-01
-6.780692338943481445e-01,-6.923706531524658203e-01
-7.098149657249450684e-01,-7.283908128738403320e-01
6.883550286293029785e-01,-6.847599744796752930e-01
6.993258595466613770e-01,-7.130920886993408203e-01
7.151442170143127441e-01,-7.040653228759765625e-01
-7.527781724929809570e-01,-7.537580728530883789e-01
7.124066352844238281e-01,-7.053279280662536621e-01
7.150633931159973145e-01,-6.948212981224060059e-01
7.324768900871276855e-01,-7.379620075225830078e-01
6.777330636978149414e-01,6.880139708518981934e-01
7.112801671028137207e-01,-7.035019397735595703e-01
-6.945731639862060547e-01,7.028243541717529297e-01
-6.954644918441772461e-01,-6.947792768478393555e-01
7.202892899513244629e-01,7.430523037910461426e-01
6.842771172523498535e-01,-7.224515080451965332e-01
-7.399076223373413086e-01,7.332653999328613281e-01
-6.996911168098449707e-01,-7.038098573684692383e-01
-7.293722033500671387e-01,-7.329807281494140625e-01
7.319384217262268066e-01,7.192748188972473145e-01
7.312654256820678711e-01,7.312907576560974121e-01
7.038731575012207031e-01,7.172599434852600098e-01
7.361448407173156738e-01,-7.320327758789062500e-01
-7.031353116035461426e-01,-6.952610015869140625e-01
-7.111362814903259277e-01,7.094407677650451660e-01
6.654060482978820801e-01,6.753839254379272461e-01
-7.054684758186340332e-01,6.845630407333374023e-01
-7.130174040794372559e-01,6.935351490974426270e-01
6.695065498352050781e-01,-7.147787213325500488e-01
-6.669757962226867676e-01,6.272948384284973145e-01
-7.029570341110229492e-01,-7.100503444671630859e-01
7.090677022933959961e-01,-7.011154890060424805e-01
7.032493352890014648e-01,-6.875141263008117676e-01
-7.112259864807128906e-01,7.101912498474121094e-01
-7.242410182952880859e-01,7.525084614753723145e-01
6.963531374931335449e-01,-7.032350301742553711e-01
7.143188714981079102e-01,-7.281741499900817871e-01
7.187340259552001953e-01,-7.004147768020629883e-01
6.949904561042785645e-01,7.001994848251342773e-01
