I,Q
-7.653417587280273438e-01,-9.407477378845214844e-01
7.552725672721862793e-01,9.466539621353149414e-01
7.155731320381164551e-01,9.585572481155395508e-01
-7.538422346115112305e-01,-9.683867096900939941e-01
7.326403856277465820e-01,9.211540818214416504e-01
-7.512375116348266602e-01,-9.426105022430419922e-01
-7.428264021873474121e-01,-9.604240059852600098e-01
-7.156691551208496094e-01,-9.338309168815612793e-01
7.386524677276611328e-01,9.643992185592651367e-01
7.296062707901000977e-01,9.311690330505371094e-01
-7.502825260162353516e-01,-9.243885874748229980e-01
-7.472872734069824219e-01,-9.349300861358642578e-01
-7.567803263664245605e-01,-9.292493462562561035e-01
-7.248141765594482422e-01,4.950754344463348389e-01
-7.598274350166320801e-01,-9.549256563186645508e-01
7.453711628913879395e-01,-4.598735272884368896e-01
-7.514342665672302246e-01,4.832858741283416748e-01
-7.836400866508483887e-01,5.049897432327270508e-01
-7.337288856506347656e-01,-9.144168496131896973e-01
-7.619352936744689941e-01,5.129274129867553711e-01
-7.956733107566833496e-01,4.070518016815185547e-01
7.273343801498413086e-01,-4.654347896575927734e-01
-7.721645832061767578e-01,4.408741593360900879e-01
-7.300280928611755371e-01,-9.190435409545898438e-01
7.754500508308410645e-01,-4.738645553588867188e-01
7.691712975502014160e-01,-4.539580643177032471e-01
-7.778573632240295410e-01,-9.413074851036071777e-01
7.883662581443786621e-01,9.344030618667602539e-01
-7.573021054267883301e-01,4.865630865097045898e-01
7.590997815132141113e-01,-4.744405746459960938e-01
-7.867642045021057129e-01,4.553715586662292480e-01
-7.933263182640075684e-01,4.439729452133178711e-01
-7.674283385276794434e-01,4.323113262653350830e-01
-8.443009257316589355e-01,4.219717383384704590e-01
-7.758720517158508301e-01,-1.028379678726196289e+00
-7.235413789749145508e-01,-9.188973307609558105e-01
7.697006464004516602e-01,-4.593558609485626221e-01
-7.359163761138916016e-01,4.921568036079406738e-01
-7.294916510581970215e-01,4.500471353530883789e-01
-7.196540236473083496e-01,5.066426992416381836e-01
-7.443568706512451172e-01,4.457689225673675537e-01
-7.603072524070739746e-01,4.407753050327301025e-01
8.015083670616149902e-01,9.586590528488159180e-01
7.593438029289245605e-01,9.598143100738525391e-01
7.806139588356018066e-01,-4.712498784065246582e-01
7.939595580101013184e-01,9.661119580268859863e-01
-7.364746928215026855e-01,-9.235424399375915527e-01
7.780582308769226074e-01,9.364625811576843262e-01
-7.363820075988769531e-01,-9.381881952285766602e-01
-7.779909968376159668e-01,-9.066350460052490234e-01
7.516286373138427734e-01,-4.458577632904052734e-01
7.595466375350952148e-01,9.596811532974243164e-01
7.222489118576049805e-01,-4.757341742515563965e-01
