I,Q
-7.138567566871643066e-01,7.129346132278442383e-01
7.057926654815673828e-01,7.090540528297424316e-01
-7.402150630950927734e-01,7.299505472183227539e-01
-7.046471238136291504e-01,6.861431598663330078e-01
6.876671314239501953e-01,-7.209246754646301270e-01
7.116525173187255859e-01,7.075391411781311035e-01
-6.958248615264892578e-01,6.900026202201843262e-01
-6.740753054618835449e-01,-7.087272405624389648e-01
6.924820542335510254e-01,7.287429571151733398e-01
-7.289763092994689941e-01,-7.115219831466674805e-01
7.124173045158386230e-01,-6.913102865219116211e-01
7.148160934448242188e-01,7.130595445632934570e-01
7.072134017944335938e-01,-6.937273144721984863e-01
-6.813993453979492188e-01,-6.936683654785156250e-01
7.047730088233947754e-01,-7.149184942245483398e-01
6.978628039360046387e-01,7.183098793029785156e-01
7.114949226379394531e-01,-6.966059207916259766e-01
6.857021450996398926e-01,7.448877096176147461e-01
7.256746888160705566e-01,7.269935607910156250e-01
7.030848860740661621e-01,7.458469867706298828e-01
-7.381484508514404297e-01,-7.500454783439636230e-01
-7.307958006858825684e-01,-6.958135366439819336e-01
-7.193209528923034668e-01,6.868318915367126465e-01
-6.855750679969787598e-01,7.220305204391479492e-01
-6.922613382339477539e-01,-7.159988880157470703e-01
-6.972898244857788086e-01,7.169711589813232422e-01
-7.238801717758178711e-01,-6.983880400657653809e-01
-6.819170713424682617e-01,6.896386742591857910e-01
-7.074180245399475098e-01,-6.922160983085632324e-01
7.088577151298522949e-01,7.021243572235107422e-01
6.832001805305480957e-01,7.031922936439514160e-01
6.779446601867675781e-01,6.951878070831298828e-01
-7.155278325080871582e-01,6.782155632972717285e-01
6.371205449104309082e-01,6.900551915168762207e-01
-7.222902178764343262e-01,-7.735682725906372070e-01
7.338335514068603516e-01,7.204088568687438965e-01
-6.968658566474914551e-01,7.122011184692382812e-01
7.239227294921875000e-01,7.210331559181213379e-01
-6.851454377174377441e-01,-7.310106158256530762e-01
-6.772667169570922852e-01,-6.851416826248168945e-01
7.171630263328552246e-01,-7.306746840476989746e-01
7.043887972831726074e-01,-7.306597828865051270e-01
7.428215742111206055e-01,7.068934440612792969e-01
-7.051603198051452637e-01,7.192396521568298340e-01
-6.881257295608520508e-01,-7.151481509208679199e-01
7.367759346961975098e-01,-6.988977193832397461e-01
-6.907379031181335449e-01,-6.943036317825317383e-01
-6.901724934577941895e-01,-7.200330495834350586e-01
-6.906636953353881836e-01,-7.068842053413391113e-01
6.902263760566711426e-01,-6.686279177665710449e-01
-7.113392949104309082e-01,-6.855735182762145996e-01
7.092156410217285156e-01,-6.951426267623901367e-01
6.793448925018310547e-01,7.109401226043701172e-01
-6.979948282241821289e-01,6.945257782936096191e-01
6.972938776016235352e-01,-7.198601961135864258e-01
-6.893519163131713867e-01,-7.210070490837097168e-01
-7.258022427558898926e-01,-7.345240116119384766e-01
-7.205188274383544922e-01,7.281650900840759277e-01
7.233479022979736328e-01,7.011258006095886230e-01
7.168632745742797852e-01,6.986119151115417480e-01
7.372822761535644531e-01,-6.945512294769287109e-01
-6.999994516372680664e-01,7.067173123359680176e-01
6.940699815750122070e-01,-7.115791440010070801e-01
-6.964074373245239258e-01,7.191628813743591309e-01
-6.671218872070312500e-01,7.431823611259460449e-01
-6.683189868927001953e-01,-6.988220810890197754e-01
-7.015171647071838379e-01,7.190512418746948242e-01
-6.845384240150451660e-01,6.802284121513366699e-01
6.935192346572875977e-01,7.395616173744201660e-01
7.158567309379577637e-01,7.431724667549133301e-01
6.781920194625854492e-01,-7.189481258392333984e-01
-6.832169294357299805e-01,-6.479119658470153809e-01
