I,Q
7.201132178306579590e-01,-6.909468770027160645e-01
-7.031363248825073242e-01,-7.109124064445495605e-01
-7.010748982429504395e-01,-7.154499888420104980e-01
7.258602976799011230e-01,-6.932971477508544922e-01
7.342826128005981445e-01,-6.775362491607666016e-01
6.644667387008666992e-01,7.483857870101928711e-01
-7.318002581596374512e-01,6.748238205909729004e-01
7.201842069625854492e-01,-7.017855644226074219e-01
-7.072074413299560547e-01,-7.054390311241149902e-01
7.080968618392944336e-01,7.001396417617797852e-01
6.993899345397949219e-01,-7.123941779136657715e-01
-7.014676332473754883e-01,-7.096245288848876953e-01
-6.970887184143066406e-01,7.199532389640808105e-01
-7.047122716903686523e-01,-7.006216049194335938e-01
6.974691152572631836e-01,7.143436074256896973e-01
-6.865593194961547852e-01,-7.266491055488586426e-01
-7.270515561103820801e-01,6.880136728286743164e-01
7.031860947608947754e-01,-6.976007223129272461e-01
-7.142060399055480957e-01,7.002647519111633301e-01
7.168574333190917969e-01,7.052139639854431152e-01
6.895527839660644531e-01,-7.269637584686279297e-01
-7.196147441864013672e-01,-6.972553133964538574e-01
-7.195974588394165039e-01,-7.018737196922302246e-01
7.195683717727661133e-01,7.028135657310485840e-01
-7.009826302528381348e-01,7.078323364257812500e-01
-7.286191582679748535e-01,-6.803034543991088867e-01
6.676699519157409668e-01,-7.389590740203857422e-01
7.076030969619750977e-01,-7.162579298019409180e-01
-6.876868009567260742e-01,7.293648123741149902e-01
-6.850557923316955566e-01,7.270081043243408203e-01
-6.863135695457458496e-01,7.317204475402832031e-01
-7.330172061920166016e-01,-6.898626089096069336e-01
-7.015690803527832031e-01,7.080134749412536621e-01
-7.329671382904052734e-01,6.928209066390991211e-01
-7.091225981712341309e-01,-7.235783338546752930e-01
6.992294192314147949e-01,-7.179338335990905762e-01
7.039617896080017090e-01,-7.114034891128540039e-01
-7.070229053497314453e-01,-7.002032995223999023e-01
-7.151831388473510742e-01,-6.994212269783020020e-01
-7.198109030723571777e-01,6.923997402191162109e-01
7.420814633369445801e-01,-6.783297657966613770e-01
-7.417424321174621582e-01,6.657069921493530273e-01
6.920618414878845215e-01,7.297262549400329590e-01
-7.056207656860351562e-01,-7.054020762443542480e-01
-7.012422084808349609e-01,-7.104737758636474609e-01
-7.074171900749206543e-01,7.019457221031188965e-01
-7.037961483001708984e-01,-7.038028836250305176e-01
-7.173852920532226562e-01,6.897869706153869629e-01
-7.111264467239379883e-01,6.993650794029235840e-01
-7.128978967666625977e-01,7.138764858245849609e-01
6.943001151084899902e-01,-7.139394879341125488e-01
-7.076041698455810547e-01,7.088471651077270508e-01
-6.900064349174499512e-01,-7.291122674942016602e-01
7.000319361686706543e-01,7.133409380912780762e-01
6.950660347938537598e-01,7.139047384262084961e-01
7.154388427734375000e-01,6.995780467987060547e-01
-6.988788247108459473e-01,-7.255426049232482910e-01
7.124639153480529785e-01,-6.938107609748840332e-01
-7.069451808929443359e-01,7.022235393524169922e-01
6.972486972808837891e-01,7.171173691749572754e-01
7.133834958076477051e-01,-7.048327326774597168e-01
7.160048484802246094e-01,6.996384263038635254e-01
-7.191690802574157715e-01,6.968156099319458008e-01
6.935955882072448730e-01,7.254209518432617188e-01
7.188656330108642578e-01,-6.961572170257568359e-01
6.963556408882141113e-01,-7.245351672172546387e-01
7.391441464424133301e-01,6.777150034904479980e-01
-6.807313561439514160e-01,7.216728329658508301e-01
7.153965234756469727e-01,-6.881182789802551270e-01
-7.315579652786254883e-01,6.882246136665344238e-01
7.161112427711486816e-01,-6.940892338752746582e-01
6.821390390396118164e-01,7.493590116500854492e-01
7.251350283622741699e-01,-6.916362643241882324e-01
7.270718216896057129e-01,-6.882737278938293457e-01
6.852349042892456055e-01,7.446272373199462891e-01
7.347185015678405762e-01,-6.683381199836730957e-01
7.163095474243164062e-01,-6.804616451263427734e-01
-6.978923678398132324e-01,-7.314049005508422852e-01
-7.290486693382263184e-01,6.818196773529052734e-01
7.037295103073120117e-01,7.161449790000915527e-01
7.088369131088256836e-01,7.073816061019897461e-01
7.038251161575317383e-01,-7.195386886596679688e-01
-7.104601860046386719e-01,-6.946595907211303711e-01
-7.169625759124755859e-01,-7.080611586570739746e-01
-7.183407545089721680e-01,7.047649025917053223e-01
7.146732807159423828e-01,-7.002366781234741211e-01
-7.028428912162780762e-01,7.002714872360229492e-01
-7.242707014083862305e-01,-6.977204084396362305e-01
-6.978452205657958984e-01,7.199773192405700684e-01
7.155727744102478027e-01,-7.049661874771118164e-01
-7.176449894905090332e-01,7.040262818336486816e-01
7.129487395286560059e-01,7.226028442382812500e-01
-6.939687132835388184e-01,-7.195763587951660156e-01
-6.871390938758850098e-01,7.099078297615051270e-01
-7.341850399971008301e-01,-6.842928528785705566e-01
6.890316009521484375e-01,-7.165760397911071777e-01
-7.210482954978942871e-01,-6.865292191505432129e-01
-7.289117574691772461e-01,-6.894159913063049316e-01
6.917555332183837891e-01,-7.290500998497009277e-01
-6.944783926010131836e-01,7.221583127975463867e-01
7.223806381225585938e-01,6.975759267807006836e-01
-7.071473002433776855e-01,7.080274820327758789e-01
-7.014721632003784180e-01,7.112423181533813477e-01
7.194321751594543457e-01,-6.980851292610168457e-01
-6.973358988761901855e-01,-7.011018395423889160e-01
-7.192034125328063965e-01,-6.958054304122924805e-01
-6.907542347908020020e-01,7.165281772613525391e-01
7.112792730331420898e-01,7.096194624900817871e-01
-7.025892138481140137e-01,-7.064232230186462402e-01
-7.319591641426086426e-01,6.844639182090759277e-01
7.248985171318054199e-01,-6.825499534606933594e-01
-7.404905557632446289e-01,6.736786365509033203e-01
-6.818509697914123535e-01,-7.316601872444152832e-01
-7.419652938842773438e-01,6.694224476814270020e-01
-7.461125850677490234e-01,6.581940650939941406e-01
6.970172524452209473e-01,7.177419066429138184e-01
7.077916860580444336e-01,-7.082389593124389648e-01
-6.832759976387023926e-01,-7.286528348922729492e-01
7.081851959228515625e-01,-6.977023482322692871e-01
7.192362546920776367e-01,7.069382071495056152e-01
-7.035574316978454590e-01,7.049654126167297363e-01
-7.152687907218933105e-01,-6.965178847312927246e-01
-7.172427177429199219e-01,6.981192231178283691e-01
-7.137606143951416016e-01,-6.967198848724365234e-01
-7.058905363082885742e-01,-7.175955176353454590e-01
-7.206298708915710449e-01,-7.024767994880676270e-01
7.069156765937805176e-01,-7.196174263954162598e-01
7.253977656364440918e-01,-6.887421607971191406e-01
-7.098920345306396484e-01,-7.102587819099426270e-01
6.995198130607604980e-01,7.171980142593383789e-01
7.226237058639526367e-01,-6.969931721687316895e-01
6.892609596252441406e-01,7.205621600151062012e-01
6.926369667053222656e-01,-7.307084798812866211e-01
7.222449779510498047e-01,6.883035302162170410e-01
7.008262276649475098e-01,-7.054911255836486816e-01
7.100291848182678223e-01,-7.050945758819580078e-01
6.974404454231262207e-01,7.164937257766723633e-01
-7.333616614341735840e-01,6.910300254821777344e-01
6.995480656623840332e-01,-7.093383073806762695e-01
-7.088422775268554688e-01,7.174181938171386719e-01
-7.101074457168579102e-01,7.108699679374694824e-01
-7.021637558937072754e-01,7.049028873443603516e-01
-7.086241245269775391e-01,7.058477401733398438e-01
-7.063595652580261230e-01,-6.969534754753112793e-01
6.894266605377197266e-01,7.243717908859252930e-01
7.175866365432739258e-01,-6.844593882560729980e-01
7.053378820419311523e-01,-7.128286361694335938e-01
-7.128723859786987305e-01,7.025610208511352539e-01
7.150657773017883301e-01,7.075583934783935547e-01
7.170325517654418945e-01,7.064712643623352051e-01
-7.018568515777587891e-01,7.096964716911315918e-01
-7.142571806907653809e-01,-6.962417364120483398e-01
-7.010312676429748535e-01,7.221203446388244629e-01
-7.221236228942871094e-01,6.868814229965209961e-01
6.829088330268859863e-01,7.137379646301269531e-01
7.087056040763854980e-01,-7.154544591903686523e-01
-7.288595438003540039e-01,6.864636540412902832e-01
6.797301769256591797e-01,7.220176458358764648e-01
6.951942443847656250e-01,7.246092557907104492e-01
-7.046125531196594238e-01,7.178619503974914551e-01
-7.128184437751770020e-01,7.090784907341003418e-01
-6.902960538864135742e-01,7.268995046615600586e-01
7.285143136978149414e-01,6.851505637168884277e-01
-6.939766407012939453e-01,7.169265151023864746e-01
6.909803748130798340e-01,-7.067683935165405273e-01
-7.124811410903930664e-01,-6.919300556182861328e-01
-7.141942381858825684e-01,7.167901396751403809e-01
6.972465515136718750e-01,-7.252506613731384277e-01
-7.075911760330200195e-01,-7.020917534828186035e-01
6.996868848800659180e-01,7.078342437744140625e-01
-7.130475640296936035e-01,-7.096019387245178223e-01
7.120981812477111816e-01,-7.014679312705993652e-01
-7.056118845939636230e-01,7.078982591629028320e-01
-7.032562494277954102e-01,-7.106308341026306152e-01
7.027050256729125977e-01,6.923105716705322266e-01
7.159739732742309570e-01,-6.964793801307678223e-01
-7.074046730995178223e-01,7.089846134185791016e-01
7.259339690208435059e-01,-7.035669088363647461e-01
7.109907865524291992e-01,-7.115833759307861328e-01
-6.917151212692260742e-01,7.232484817504882812e-01
6.822643876075744629e-01,-7.436476349830627441e-01
7.271343469619750977e-01,6.849291920661926270e-01
7.194797992706298828e-01,6.881129145622253418e-01
-7.215783596038818359e-01,-6.991737484931945801e-01
7.110342979431152344e-01,7.086393237113952637e-01
-6.980890035629272461e-01,-7.070658802986145020e-01
-7.204878330230712891e-01,7.006265521049499512e-01
7.070058584213256836e-01,7.077049612998962402e-01
-7.105528712272644043e-01,-7.094109058380126953e-01
7.043839097023010254e-01,-7.216958403587341309e-01
7.006812691688537598e-01,7.002967596054077148e-01
7.013985514640808105e-01,-7.220597863197326660e-01
7.169209718704223633e-01,6.919021606445312500e-01
7.052516341209411621e-01,-7.079569101333618164e-01
7.139357328414916992e-01,7.072330713272094727e-01
7.137678265571594238e-01,-6.998734474182128906e-01
6.609836816787719727e-01,7.493771314620971680e-01
-7.588561773300170898e-01,6.625626087188720703e-01
-7.393993139266967773e-01,6.855082511901855469e-01
6.847367882728576660e-01,-7.224512696266174316e-01
-7.083581686019897461e-01,-7.030171751976013184e-01
-7.011807560920715332e-01,7.221429347991943359e-01
6.857821345329284668e-01,-7.203513383865356445e-01
7.210795283317565918e-01,6.825984716415405273e-01
-6.938120126724243164e-01,7.319002747535705566e-01
-6.842103004455566406e-01,7.369815707206726074e-01
6.674630641937255859e-01,-7.335925698280334473e-01
-7.298398613929748535e-01,-6.816236972808837891e-01
-7.016410231590270996e-01,-7.197592854499816895e-01
-6.867624521255493164e-01,-7.181407213211059570e-01
7.043808102607727051e-01,7.092680335044860840e-01
7.246963381767272949e-01,-6.908601522445678711e-01
7.115573287010192871e-01,-7.002003788948059082e-01
7.050650715827941895e-01,-6.977416276931762695e-01
-7.249402403831481934e-01,6.978448629379272461e-01
-7.036042213439941406e-01,7.054752707481384277e-01
-6.886852979660034180e-01,-7.266998887062072754e-01
-7.246553301811218262e-01,6.980034708976745605e-01
7.044739723205566406e-01,-7.054139971733093262e-01
7.005848884582519531e-01,-7.082171440124511719e-01
