I,Q
1.373874843120574951e-01,4.976755976676940918e-01
-9.612463116645812988e-01,-3.896783590316772461e-01
-9.277884364128112793e-01,3.882208764553070068e-01
-7.039046287536621094e-01,-7.205986976623535156e-01
-1.570357680320739746e-01,-5.611901283264160156e-01
1.414421480149030685e-02,1.005458235740661621e+00
5.687794685363769531e-01,-1.306494027376174927e-01
5.322421789169311523e-01,1.452993154525756836e-01
-3.725927770137786865e-01,3.748980164527893066e-01
1.265797913074493408e-01,1.234884113073348999e-01
-3.840526342391967773e-01,9.405463337898254395e-01
-8.862026929855346680e-01,3.935389220714569092e-01
-1.408706307411193848e-01,-4.748722016811370850e-01
-3.716398179531097412e-01,-4.089018404483795166e-01
-1.157968938350677490e-01,-1.140005439519882202e-01
6.996019482612609863e-01,6.958252191543579102e-01
-9.731043577194213867e-01,-2.771197818219661713e-02
-5.000770688056945801e-01,-1.507078707218170166e-01
1.512759029865264893e-01,-5.356873869895935059e-01
3.797530196607112885e-03,-1.012108445167541504e+00
-4.010249972343444824e-01,-4.253160059452056885e-01
-1.242092400789260864e-01,5.154554843902587891e-01
1.209474653005599976e-01,-5.169371366500854492e-01
4.047317206859588623e-01,9.635557532310485840e-01
-9.810454249382019043e-01,4.078517854213714600e-02
3.955693542957305908e-01,9.033470153808593750e-01
9.926105141639709473e-01,1.273436285555362701e-02
9.031675457954406738e-01,-3.840834796428680420e-01
3.892893195152282715e-01,4.027877151966094971e-01
3.863292634487152100e-01,-3.810223340988159180e-01
-9.522550702095031738e-01,-3.969114124774932861e-01
3.863559067249298096e-01,3.807802498340606689e-01
7.443037629127502441e-01,-6.942611336708068848e-01
3.463215827941894531e-01,3.779030144214630127e-01
9.476200938224792480e-01,3.962257504463195801e-01
3.522208034992218018e-01,-4.078152477741241455e-01
5.270960927009582520e-01,-1.542409360408782959e-01
-1.814378611743450165e-02,-9.690237045288085938e-01
4.386582076549530029e-01,-3.997241258621215820e-01
1.265769302845001221e-01,5.282471776008605957e-01
3.857633471488952637e-01,-9.603811502456665039e-01
9.585799574851989746e-01,3.741729557514190674e-01
3.491354584693908691e-01,3.696231544017791748e-01
-3.646189570426940918e-01,-9.541634917259216309e-01
-4.857425391674041748e-01,-1.205664724111557007e-01
4.093463420867919922e-01,3.632569909095764160e-01
1.328194737434387207e-01,-4.917699992656707764e-01
-1.150800213217735291e-01,-9.038573503494262695e-02
9.635605216026306152e-01,4.092401266098022461e-01
-1.082600057125091553e-01,-5.389665961265563965e-01
-5.243902206420898438e-01,1.730654537677764893e-01
1.405171602964401245e-01,-1.486835330724716187e-01
7.082325816154479980e-01,-7.288780212402343750e-01
-3.895643353462219238e-01,-9.367322921752929688e-01
-3.956296741962432861e-01,3.633038103580474854e-01
1.309261471033096313e-01,-4.784264266490936279e-01
4.181031286716461182e-01,-9.237000942230224609e-01
1.024380564689636230e+00,2.674163132905960083e-02
-1.444423794746398926e-01,-1.192290335893630981e-01
-3.775493502616882324e-01,-9.455088973045349121e-01
4.975828230381011963e-01,1.490269303321838379e-01
3.608631193637847900e-01,-3.625324070453643799e-01
3.902686238288879395e-01,-9.174546599388122559e-01
9.541851282119750977e-01,3.838706612586975098e-01
9.048380255699157715e-01,-3.680614829063415527e-01
-9.773555397987365723e-02,-1.243734508752822876e-01
2.804443612694740295e-02,9.921245574951171875e-01
1.004226922988891602e+00,2.633891301229596138e-03
-5.362447500228881836e-01,1.766534745693206787e-01
9.389102458953857422e-01,3.882796764373779297e-01
5.028902888298034668e-01,-1.471707969903945923e-01
1.014912724494934082e+00,4.246552661061286926e-02
4.996325373649597168e-01,-1.709066629409790039e-01
2.747214632108807564e-03,9.840893745422363281e-01
1.686747074127197266e-01,5.307965278625488281e-01
-1.741110235452651978e-01,-1.654786616563796997e-01
1.690676212310791016e-01,5.317300558090209961e-01
5.311500430107116699e-01,1.317816674709320068e-01
-2.340997010469436646e-02,1.023504376411437988e+00
9.350132942199707031e-02,-1.549046188592910767e-01
-1.138824671506881714e-01,5.266790390014648438e-01
-1.266928315162658691e-01,1.513871848583221436e-01
9.748833775520324707e-01,2.493855357170104980e-02
-1.576755493879318237e-01,5.621356964111328125e-01
4.169566929340362549e-01,-4.080455899238586426e-01
8.862743377685546875e-01,3.973067700862884521e-01
-4.042044878005981445e-01,-9.311059117317199707e-01
-3.734942972660064697e-01,3.984082937240600586e-01
1.103102192282676697e-01,1.318242400884628296e-01
-1.675503402948379517e-01,1.555142700672149658e-01
9.990422427654266357e-02,4.930006861686706543e-01
9.035046696662902832e-01,3.752012550830841064e-01
3.868176639080047607e-01,9.548540115356445312e-01
-1.077873334288597107e-01,1.790432035923004150e-01
1.248906180262565613e-01,-1.207512840628623962e-01
-7.594867944717407227e-01,-7.074886560440063477e-01
3.914970755577087402e-01,-3.883687853813171387e-01
-4.290662705898284912e-01,-9.125041961669921875e-01
3.502943813800811768e-01,-3.646681904792785645e-01
9.453722834587097168e-01,-3.552600145339965820e-01
-3.812722861766815186e-01,-3.684184849262237549e-01
7.197751402854919434e-01,7.285535335540771484e-01
5.072859525680541992e-01,1.517947465181350708e-01
-4.978835582733154297e-01,1.418914645910263062e-01
-1.150419116020202637e-01,-1.876990199089050293e-01
-3.664970397949218750e-01,-3.833897411823272705e-01
-5.358161330223083496e-01,-1.390289217233657837e-01
9.077329039573669434e-01,3.477248847484588623e-01
-7.203160524368286133e-01,-6.705567240715026855e-01
1.583646684885025024e-01,4.897863566875457764e-01
6.995579004287719727e-01,6.992803812026977539e-01
-1.352622359991073608e-01,1.258317679166793823e-01
1.040154457092285156e+00,2.984249964356422424e-02
5.302921533584594727e-01,1.473074555397033691e-01
-4.896270632743835449e-01,-1.557783633470535278e-01
9.716625511646270752e-02,-1.114799529314041138e-01
-1.232617944478988647e-01,-1.736273020505905151e-01
-9.276009202003479004e-01,-3.848508596420288086e-01
-3.345654904842376709e-01,-3.827181160449981689e-01
7.058287262916564941e-01,7.161844372749328613e-01
-7.177137136459350586e-01,7.089838981628417969e-01
-1.499971374869346619e-02,1.011239528656005859e+00
4.113212227821350098e-01,-9.204288721084594727e-01
-1.121151298284530640e-01,5.475950837135314941e-01
2.867074869573116302e-02,1.009975671768188477e+00
1.411332637071609497e-01,4.887136816978454590e-01
-9.787082076072692871e-01,2.093153446912765503e-02
-1.551577001810073853e-01,-4.943531751632690430e-01
-1.431256085634231567e-01,-1.175282970070838928e-01
5.108685493469238281e-01,-9.111970663070678711e-02
4.216201007366180420e-01,9.111527800559997559e-01
1.008169889450073242e+00,-1.440937630832195282e-03
-1.639415323734283447e-01,-5.251161456108093262e-01
7.193017601966857910e-01,7.072011232376098633e-01
-3.772314190864562988e-01,3.592880368232727051e-01
1.289755553007125854e-01,-1.317256242036819458e-01
-3.980868756771087646e-01,8.931112885475158691e-01
-1.063001304864883423e-01,-5.181241631507873535e-01
-6.930925846099853516e-01,7.177844643592834473e-01
9.548827409744262695e-01,3.976725935935974121e-01
1.365354210138320923e-01,1.425452828407287598e-01
-9.247513413429260254e-01,3.818262219429016113e-01
5.539746880531311035e-01,1.787137389183044434e-01
5.500473976135253906e-01,-1.666713058948516846e-01
3.838814795017242432e-01,9.594743847846984863e-01
4.237783849239349365e-01,-9.178550839424133301e-01
1.084175240248441696e-02,1.013132929801940918e+00
-9.475803375244140625e-01,3.511436283588409424e-01
-2.971839159727096558e-02,1.017880082130432129e+00
-1.741682589054107666e-01,5.189242362976074219e-01
3.519079685211181641e-01,3.865875601768493652e-01
-5.044627189636230469e-01,9.939597547054290771e-02
-6.880423426628112793e-01,7.140685915946960449e-01
-1.531794369220733643e-01,-5.402584075927734375e-01
-7.034058570861816406e-01,7.573280930519104004e-01
1.270834207534790039e-01,5.237708091735839844e-01
-3.895186185836791992e-01,3.505850434303283691e-01
-7.236446142196655273e-01,7.031224966049194336e-01
-1.217593550682067871e-01,1.359344571828842163e-01
-3.463134765625000000e-01,-3.663583099842071533e-01
-1.364389955997467041e-01,5.259422659873962402e-01
1.206140592694282532e-02,-1.009888648986816406e+00
-1.812939941883087158e-01,4.689070582389831543e-01
-5.161036849021911621e-01,-1.603954732418060303e-01
-5.013778805732727051e-01,-1.446258127689361572e-01
1.062352210283279419e-01,-5.255160927772521973e-01
-1.518480032682418823e-01,-5.031340122222900391e-01
-1.457917243242263794e-01,5.402234792709350586e-01
-5.095242857933044434e-01,1.253370642662048340e-01
9.977832436561584473e-02,-1.329201161861419678e-01
5.283976793289184570e-01,-6.617894023656845093e-02
9.224248528480529785e-01,-3.834168016910552979e-01
8.905347585678100586e-01,4.137148857116699219e-01
1.379824280738830566e-01,-5.711157917976379395e-01
2.172888815402984619e-01,5.333819985389709473e-01
-5.245618820190429688e-01,-1.344625502824783325e-01
-4.123734235763549805e-01,-3.868679702281951904e-01
1.164457127451896667e-01,-5.280445814132690430e-01
4.122573137283325195e-01,3.245397508144378662e-01
-3.732544183731079102e-01,3.880418837070465088e-01
1.623484492301940918e-01,1.548963189125061035e-01
8.530532068107277155e-05,9.953672885894775391e-01
-1.351283676922321320e-02,1.009866237640380859e+00
-8.951280117034912109e-01,3.771172463893890381e-01
5.286292433738708496e-01,1.359111815690994263e-01
1.296605467796325684e-01,-5.255613327026367188e-01
3.671259284019470215e-01,4.069215655326843262e-01
1.565541476011276245e-01,-5.270506143569946289e-01
-8.945385813713073730e-01,-3.452613651752471924e-01
-1.659048497676849365e-01,-5.326021313667297363e-01
-3.893208503723144531e-01,9.357664585113525391e-01
5.327021479606628418e-01,-1.549855172634124756e-01
-4.250366389751434326e-01,9.294156432151794434e-01
3.708791732788085938e-01,3.775340616703033447e-01
7.004815340042114258e-01,7.230673432350158691e-01
1.514002308249473572e-02,-1.019208908081054688e+00
3.950707018375396729e-01,-3.865082859992980957e-01
5.118494629859924316e-01,-1.461226493120193481e-01
1.038922429084777832e+00,-4.080493003129959106e-03
-9.107437729835510254e-01,-3.963811099529266357e-01
-4.164443314075469971e-01,3.931597471237182617e-01
3.874823153018951416e-01,-8.830646872520446777e-01
-1.631894558668136597e-01,4.790908992290496826e-01
-1.430454105138778687e-01,5.097591280937194824e-01
1.549263894557952881e-01,-5.491096973419189453e-01
-6.792134642601013184e-01,-7.076203823089599609e-01
3.700618445873260498e-01,3.881629109382629395e-01
-1.520486325025558472e-01,5.132290720939636230e-01
-7.607275843620300293e-01,-7.175016999244689941e-01
9.295725822448730469e-01,-3.835582733154296875e-01
-5.453203320503234863e-01,1.788695156574249268e-01
-9.317573904991149902e-01,-4.178738892078399658e-01
-1.627831310033798218e-01,1.123131811618804932e-01
-3.778441250324249268e-01,-3.909760713577270508e-01
9.303539395332336426e-01,3.643136024475097656e-01
-3.890116885304450989e-02,-1.018395185470581055e+00
-6.894131302833557129e-01,-7.017498016357421875e-01
-1.180517114698886871e-02,-9.977117180824279785e-01
6.990479230880737305e-01,6.905024051666259766e-01
-1.777837574481964111e-01,1.596574336290359497e-01
4.213075041770935059e-01,-9.246815443038940430e-01
1.010231137275695801e+00,1.754377409815788269e-02
